C_max,arm,seed,weekly_cost_mean,weekly_cost_sd,weekly_cost_median,weekly_cost_p90,weekly_cost_p99,weekly_cost_max,frac_weeks_at_cap,frac_weeks_zero,total_cost,budget_utilisation,n_sr_per_week,n_sp_per_week
8,ppo,3,1.752,1.1482578107724764,1.0,4.0,5.0,5.0,0.0,0.0,876.0,0.219,1.752,0.0
8,ppo,4,2.014,1.0304387415077132,2.0,3.0,6.0,6.0,0.0,0.0,1007.0,0.25175,2.014,0.0
8,ppo,5,1.624,1.5970673122946322,2.0,3.0,6.0,6.0,0.0,0.426,812.0,0.203,1.624,0.0
8,ppo,6,1.562,1.4276400106469418,2.0,4.0,5.0,5.0,0.0,0.316,781.0,0.19525,1.562,0.0
8,ppo,7,1.894,0.8165561830027375,2.0,3.0,4.0,5.0,0.0,0.0,947.0,0.23675,1.894,0.0
8,ppo,8,1.88,1.312097557348538,1.0,4.0,6.0,6.0,0.0,0.0,940.0,0.235,1.88,0.0
8,ppo,9,2.228,0.49801204804703264,2.0,3.0,4.0,4.0,0.0,0.0,1114.0,0.2785,2.228,0.0
12,none,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,threshold,-1,4.128,4.847227661251326,0.0,12.0,12.0,12.0,0.182,0.516,2064.0,0.34400000000000003,0.0,1.376
12,calendar,-1,1.134,2.452762524175547,0.0,6.0,9.0,10.0,0.0,0.79,567.0,0.09449999999999999,1.134,0.0
12,mpc1,-1,0.44,1.1689311356961967,0.0,1.1000000000000227,5.0,5.0,0.0,0.82,220.0,0.03666666666666667,0.44,0.0
12,ppo,0,1.984,1.1965550551479025,2.0,3.0,6.0,6.0,0.0,0.0,992.0,0.16533333333333333,1.924,0.02
12,ppo,1,2.968,1.2581637413309923,2.0,4.0,6.009999999999991,7.0,0.0,0.0,1484.0,0.24733333333333332,1.81,0.386
12,ppo,2,2.7,0.7733045971672482,3.0,4.0,5.0,6.0,0.0,0.0,1350.0,0.225,2.664,0.012
12,ppo,3,2.47,1.5235156710713547,2.5,5.0,6.0,6.0,0.0,0.0,1235.0,0.20583333333333334,2.47,0.0
12,ppo,4,3.202,1.2087994043678216,3.0,5.0,5.0,7.0,0.0,0.0,1601.0,0.2668333333333333,3.19,0.004
12,ppo,5,3.272,1.2922909889030412,3.0,5.0,6.0,6.0,0.0,0.0,1636.0,0.27266666666666667,3.242,0.01
12,ppo,6,2.526,1.1938693395845292,2.0,4.0,4.0,5.0,0.0,0.0,1263.0,0.2105,2.466,0.02
12,ppo,7,2.752,1.2955678291776156,2.0,5.0,6.0,6.0,0.0,0.0,1376.0,0.2293333333333333,2.542,0.07
12,ppo,8,2.412,1.6953630879549078,2.0,5.0,6.0,6.0,0.0,0.18,1206.0,0.20099999999999998,2.358,0.018
12,ppo,9,2.388,1.3302090061339986,2.0,5.0,5.0,5.0,0.0,0.0,1194.0,0.19899999999999998,2.388,0.0
inf,none,-1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,0.0
