week_in_year,BI_conghua,BI_huadu,BI_zengcheng,BI_baiyun,BI_tianhe,BI_yuexiu,BI_haizhu,BI_panyu,BI_nansha,BI_huangpu,n_sr,n_sp,cost
2,0.2165181086485994,0.991816087613378,1.5027757015257126,0.0,0.4791088794137453,0.0,2.5594963083608646,0.17137569193995056,3.0381093225084483,0.0,0,0,0.0
3,2.8437580926110346,0.0,1.0762560503464065,0.0,0.0,3.6635430723344955,3.0479745218623573,0.5814004233742196,0.0,0.15813463323283627,0,0,0.0
4,1.8212846040217001,0.0,0.0,0.0,0.653117936112165,0.7506018827024443,0.0,0.0,0.0,1.7265043476307946,0,0,0.0
5,1.555694307687641,2.3240184986516286,0.0,0.0,0.8198635752566964,0.5067708620727498,0.9557921423554547,0.623398244717531,0.0,0.0,0,0,0.0
6,0.7633489202927559,0.0,0.9786634422353668,1.720806435272318,0.0,0.3906130875809111,0.0,1.9252211298695943,0.0,0.9695305752825191,0,0,0.0
7,0.09669076503030447,0.0,0.0,0.13579043296828092,1.5448116237409901,1.0680377167587176,0.20683050926565894,1.5432244167733877,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.16249657728196898,0.0,0.24999620751164559,0.30400849316728984,1.1605176431206101,1,0,1.0
9,0.8551488469321249,1.7030618625500926,3.1562405935187705,1.8481898073091738,0.0,0.0,0.0,0.9284909255045323,0.0,0.5039583294139042,0,0,0.0
10,3.006691261798238,1.7360415632359696,0.0523824233175767,0.8049451232473726,0.0,3.540166803323436,1.0176973176135125,2.562093473823786,3.618269714598449,0.0,0,0,0.0
11,0.6209751056236894,0.47020624991165394,2.0224771719688914,2.7850832185557515,4.443751324918466,2.6747007937462994,4.89389222484235,1.9799424971246384,3.1983451594383925,1.5844667826484184,3,0,3.0
12,0.809108232371069,4.8079462681462655,0.8759349115341686,2.1887591342502555,1.872461061717041,2.3220123373874704,0.9920332991660336,1.2480181146154885,3.049277983380546,2.085438751393454,3,0,3.0
13,0.0,2.9791173571593617,1.2482456740847576,0.3484634178428319,2.160430716680764,0.43327763097663674,3.351087566668864,2.9431368878288464,1.7629822583493167,0.2723134935813347,2,0,2.0
14,2.165568806086554,0.0,0.30742119132766055,0.08938009770035282,0.6683335278271493,0.0,1.4579460077382227,0.7304764034522946,0.7384264497232049,0.722609885009826,1,0,1.0
15,1.1607193146697048,1.5366746304179086,0.6256419113166262,1.567537927554277,1.269748237245203,1.9224552081787896,1.0559137936250562,3.577852744248148,1.620792764485214,1.471138503976963,1,0,1.0
16,1.2905272388923184,5.182084944698223,1.6418209037629024,2.450835335084529,1.6057006402216583,3.682027127869618,2.7763980933143437,1.933647549628415,1.872467010807983,6.753558308642695,3,0,3.0
17,2.257116684896584,0.6888670420616534,0.656534273987755,4.983760967455848,5.2793136132012455,2.9250429040506374,0.7508041599639842,4.1171571631077315,6.2226102546786555,5.144295532061353,5,0,5.0
18,1.459877053902838,2.178793674330206,1.0584334883952826,2.2102158263156952,3.122856366795488,3.5543355059517965,1.4366818012631444,1.670845767739357,3.7635884015434167,2.2317655302968724,2,0,2.0
19,2.0068827293933325,0.907348254004206,0.834060494426235,1.2240959208663595,2.1376964715950733,1.4503999639923821,3.217877183971084,2.6644099167056887,4.536957810332328,2.9512722292404443,3,0,3.0
20,2.1689782050446107,2.9413076349353666,2.3417070272798135,3.613626982441785,2.3546874552822703,0.6884669887811333,3.240544380363809,1.207859560569407,3.1090906751045537,2.286773864159323,0,0,0.0
21,4.295381426549885,4.404483692520624,4.000804734561912,4.633864630617931,4.240211043045739,3.395554800908472,1.9150588957485575,3.283173675838864,4.411534583850893,4.403489248971124,1,0,1.0
22,2.3033178018905467,2.545778373181118,2.610451808853875,2.999905104791718,2.177039427642528,4.698568324849452,2.911307377461105,4.880628621894296,2.5752059624537846,2.4521688348478876,5,0,5.0
23,2.918534974151019,3.3560368393433624,1.786986900499762,4.0420544041620845,2.158077846195572,2.2449519476003266,3.2554313187949018,3.0616007806901564,0.9609644727560502,6.8521541163730015,3,0,3.0
24,2.789948524387922,3.703666827002625,2.157142643535754,2.898338224763395,3.1637911945676325,2.5420359897531117,1.8944325251289218,2.3875908671987216,2.443086400787625,2.9687098494157804,2,0,2.0
25,4.807575999835165,3.321731341823695,3.385941192165229,1.5739839083585923,4.767493600074882,2.0911143148905618,2.697295732306947,4.064618927433681,3.3692613405990066,4.299730541831894,1,0,1.0
26,3.42908165894695,4.404122687053611,4.524863384972118,3.1474675127665264,2.271549617497169,3.897277064835657,3.431685920351901,4.961563171168669,3.3170529594411446,4.644514284368764,1,0,1.0
27,1.8784705222636988,2.3423402527781043,2.1331548187692597,4.172570203507783,2.878371889854092,1.662389798159454,1.2385199991084235,2.0155423608755125,4.998546854080411,1.8719296944643617,6,0,6.0
28,2.246634941894083,1.8703686519887395,1.5980437248723378,0.922986009508511,2.707857405701333,1.4071440055433357,1.9194656199783493,2.242881072618404,2.746447796428555,1.656299362909292,1,0,1.0
29,2.903780960303879,2.7962278212815557,2.272564410838549,1.8360964633630967,0.6435971174997918,0.662813561475289,2.366749513927767,1.1394024061221415,1.3474053608891383,1.6082066918446423,2,0,2.0
30,0.40703855875339345,0.0,2.39470894108332,0.0,0.31415606221064457,0.5944636779188582,0.0667383964599775,1.100915265525772,4.280836394446359,0.666629241920306,1,0,1.0
31,1.585788910453808,4.225113635014711,4.402871989463232,5.249815608112048,2.774935199270185,3.0450733371283625,2.1046520721327404,4.412696402565837,4.698453327705508,6.130501889119472,0,0,0.0
32,1.9877752725663984,2.0617938154470568,1.4990652763551993,4.277731138901944,1.4347752122798008,2.3964488695411337,2.7188767989783167,2.0858060201719133,3.3619749748261434,2.1062520218195075,4,0,4.0
33,3.4032222874380444,2.319435648533689,3.556296578163072,2.6171787711862384,2.7734861439076224,4.622088141044821,3.1553642442211642,2.843240460952151,5.670025621386346,3.736206206505901,2,0,2.0
34,7.240067598056524,2.8100300260232873,2.3332216794729894,1.6440949810617862,2.3962493922350814,1.7799772261286688,1.6128176991944931,4.2115303155494415,4.149299883484699,4.3658609863685385,2,0,2.0
35,5.569980611294052,3.8730330911039936,3.789998940689034,3.6714609273022423,3.786811589542541,3.6069341751256756,2.74814848557264,4.743332932794153,2.467208640979676,2.00049517605183,1,0,1.0
36,5.402691903023803,4.387822370652752,5.468296325463883,4.6214825168391,4.256554858935686,2.222081944141044,3.5551493392835,1.673693442508973,3.091934091943069,3.1764736252940344,1,0,1.0
37,1.3041017467813505,2.8139718553658817,1.442027091830298,3.583618175054889,2.463257650735606,1.9838874470580785,2.3659307511591154,1.3648529896735715,1.9048876514144168,2.1423201422339386,0,0,0.0
38,5.446013879205994,1.538967415877018,2.663332884876518,3.8715621519438623,6.316875897281888,5.7246866675005315,2.635641258805867,2.7334944441110434,1.554014081107319,4.132628900315207,0,0,0.0
39,0.8256723573464698,2.188620934192866,5.780845518425494,5.936562406762226,6.2873372335651805,5.322159587259182,6.250995723473604,5.1775993708962575,3.8931885410524028,3.9440009825696043,0,0,0.0
40,0.8572601945793059,1.9365699045247122,2.5007657562774366,0.6989725622840126,4.766071102260873,4.273364860171779,3.639724438173448,0.231578595663696,2.616954323623567,1.6749932958760527,0,0,0.0
41,3.8243237646940464,0.08586594871682496,0.0,2.1375662942724056,0.0,1.679885330268017,0.5605324072385482,0.4534168132024376,2.785000372380143,1.425178236876632,0,0,0.0
42,0.0,1.0327504329846502,0.0,1.4849258665490246,2.1077977849201286,1.9893557580078916,2.3161941887592117,2.2149397923208,0.0,0.0,0,0,0.0
