C_max,features,n,ret,ret_sd,bi,cost,w10
2,adjacency,5,-0.6565183365477937,0.012633982927173965,2.2992954980842177,49.480000000000004,0.0
2,baseline,5,-0.6700428808579055,0.014575379884192633,2.2974755701691327,49.660000000000004,0.0
inf,adjacency,5,-0.7043387105649624,0.02647572164915022,2.1874711534472056,55.04,0.0
inf,baseline,5,-0.6977663880783755,0.03938974886083303,2.150219578617277,57.36,0.0
