C_max,model,seed,arm,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
2,ppo_c2_s3,3,ppo,2.362976357894664,7.462794909988114,0.0,7.199999999999999,51.0,1.02,51,0,-0.6362647076680404,0,0.51,4,10004
2,ppo_c2_s3,3,ppo,2.3541646948349735,8.659326909104713,0.0,7.8,47.0,0.94,47,0,-0.6781800659970509,0,0.47,5,10005
2,ppo_c2_s3,3,ppo,2.236396208644712,7.736322761219803,0.0,6.800000000000001,50.0,1.0,50,0,-0.6772007736130146,0,0.5,6,10006
2,ppo_c2_s3,3,ppo,2.2834050403462154,7.704103637026934,0.0,8.4,51.0,1.02,51,0,-0.6906335530173452,0,0.51,7,10007
2,ppo_c2_s3,3,ppo,2.335328643736019,7.363361478177297,0.0,7.3999999999999995,48.0,0.96,48,0,-0.6680049938776793,0,0.48,8,10008
2,ppo_c2_s3,3,ppo,2.2635220085778927,7.218847290841529,0.0,7.000000000000001,52.0,1.04,52,0,-0.6665883686635434,0,0.52,9,10009
2,ppo_c2_s4,4,ppo,2.2100292831461474,7.574075951062567,0.0,5.4,54.0,1.08,54,0,-0.6680699943697928,0,0.54,0,10000
2,ppo_c2_s4,4,ppo,2.2126865300041216,7.92145281460439,0.0,6.6000000000000005,55.0,1.1,55,0,-0.7168102088904963,0,0.55,1,10001
2,ppo_c2_s4,4,ppo,2.2836974936696106,9.021674239819625,0.0,7.8,50.0,1.0,50,0,-0.6866896490790253,0,0.5,2,10002
2,ppo_c2_s4,4,ppo,2.2088227287876405,8.132316589478174,0.0,6.6000000000000005,50.0,1.0,50,0,-0.6451416861470666,0,0.5,3,10003
2,ppo_c2_s4,4,ppo,2.3167996743407935,7.455291224429695,0.0,7.199999999999999,53.0,1.06,53,0,-0.7191127850691623,0,0.53,4,10004
2,ppo_c2_s4,4,ppo,2.248929037266097,8.659326909104713,0.0,6.2,54.0,1.08,54,0,-0.7254643491747268,0,0.54,5,10005
2,ppo_c2_s4,4,ppo,2.2600845102083857,7.781674914600138,0.0,8.4,49.0,0.98,49,0,-0.6849642630365143,0,0.49,6,10006
2,ppo_c2_s4,4,ppo,2.2932974974920173,8.37492320770907,0.0,6.0,50.0,1.0,50,0,-0.6663059540871217,0,0.5,7,10007
2,ppo_c2_s4,4,ppo,2.228188384206387,7.751765574877441,0.0,6.0,55.0,1.1,55,0,-0.6843647619375358,0,0.55,8,10008
2,ppo_c2_s4,4,ppo,2.1959957159327343,6.978489497724081,0.0,7.000000000000001,55.0,1.1,55,0,-0.6664479671819143,0,0.55,9,10009
2,ppo_c2_s5,5,ppo,2.2805580771701632,7.456026731863112,0.0,7.000000000000001,50.0,1.0,50,0,-0.6191146778759322,0,0.5,0,10000
2,ppo_c2_s5,5,ppo,2.301565073300412,7.361017660856107,0.0,7.3999999999999995,50.0,1.0,50,0,-0.6407144555895039,0,0.5,1,10001
2,ppo_c2_s5,5,ppo,2.294602349199669,9.392186383195064,0.0,7.000000000000001,51.0,1.02,51,0,-0.6786933250995049,0,0.51,2,10002
2,ppo_c2_s5,5,ppo,2.209440669986554,7.792702155691296,0.0,5.4,51.0,1.02,51,0,-0.6341810218240529,0,0.51,3,10003
2,ppo_c2_s5,5,ppo,2.4137565194784973,7.705353272541164,0.0,8.200000000000001,47.0,0.94,47,0,-0.6115590111406826,0,0.47,4,10004
2,ppo_c2_s5,5,ppo,2.374789413780304,8.659326909104713,0.0,7.6,47.0,0.94,47,0,-0.6874734969775973,0,0.47,5,10005
2,ppo_c2_s5,5,ppo,2.219385676172382,7.470777372005826,0.0,5.4,52.0,1.04,52,0,-0.6323337452708735,0,0.52,6,10006
2,ppo_c2_s5,5,ppo,2.298122860568899,7.111119192575464,0.0,5.800000000000001,51.0,1.02,51,0,-0.613505433733833,0,0.51,7,10007
2,ppo_c2_s5,5,ppo,2.3459975232756025,8.79202342254989,0.0,7.199999999999999,48.0,0.96,48,0,-0.6635272873898277,0,0.48,8,10008
2,ppo_c2_s5,5,ppo,2.2976369266148486,7.028124539101623,0.0,6.2,50.0,1.0,50,0,-0.5864133904784453,0,0.5,9,10009
2,ppo_c2_s6,6,ppo,2.320297945155743,7.574075951062567,0.0,7.000000000000001,47.0,0.94,47,0,-0.634892386576716,0,0.47,0,10000
2,ppo_c2_s6,6,ppo,2.347262828642498,8.70508019085569,0.0,8.4,47.0,0.94,47,0,-0.6918244787490578,0,0.47,1,10001
2,ppo_c2_s6,6,ppo,2.364836573608211,8.072958024948258,0.0,8.6,45.0,0.9,45,0,-0.6372978993699294,0,0.45,2,10002
2,ppo_c2_s6,6,ppo,2.294198206241519,7.895998276551713,0.0,7.6,45.0,0.9,45,0,-0.6190966028988917,0,0.45,3,10003
2,ppo_c2_s6,6,ppo,2.4710404906891004,7.7318078068957625,0.0,8.200000000000001,43.0,0.86,43,0,-0.5889383880077508,0,0.43,4,10004
2,ppo_c2_s6,6,ppo,2.412745565217051,8.659326909104713,0.0,8.4,44.0,0.88,44,0,-0.639973343201062,0,0.44,5,10005
2,ppo_c2_s6,6,ppo,2.2997880970471454,7.537286482818847,0.0,8.4,47.0,0.94,47,0,-0.6341915926730918,0,0.47,6,10006
2,ppo_c2_s6,6,ppo,2.3867557852693135,8.191872680131425,0.0,9.4,45.0,0.9,45,0,-0.6634530694484386,0,0.45,7,10007
2,ppo_c2_s6,6,ppo,2.2445095194429148,7.426897688219703,0.0,6.800000000000001,54.0,1.08,54,0,-0.6571474216130917,0,0.54,8,10008
2,ppo_c2_s6,6,ppo,2.2357032588930967,7.044829748489743,0.0,6.0,53.0,1.06,53,0,-0.6362611466221512,0,0.53,9,10009
2,ppo_c2_s7,7,ppo,2.2791952783848326,7.375222674089697,0.0,6.800000000000001,49.0,0.98,49,0,-0.594142710942503,0,0.49,0,10000
2,ppo_c2_s7,7,ppo,2.3102626958319674,8.70508019085569,0.0,7.199999999999999,50.0,1.0,50,0,-0.693018202066394,0,0.5,1,10001
2,ppo_c2_s7,7,ppo,2.2593596342181104,7.046852569515854,0.0,6.6000000000000005,51.0,1.02,51,0,-0.6041174856313261,0,0.51,2,10002
2,ppo_c2_s7,7,ppo,2.183107202772803,7.986910168311628,0.0,6.4,53.0,1.06,53,0,-0.6775546109782726,0,0.53,3,10003
2,ppo_c2_s7,7,ppo,2.352275142046939,7.830986819646872,0.0,7.6,50.0,1.0,50,0,-0.6539964123699098,0,0.5,4,10004
2,ppo_c2_s7,7,ppo,2.2617094862137126,8.659326909104713,0.0,6.4,55.0,1.1,55,0,-0.7214305756854515,0,0.55,5,10005
2,ppo_c2_s7,7,ppo,2.297458610437977,7.419362785338488,0.0,7.199999999999999,47.0,0.94,47,0,-0.6490455726795977,0,0.47,6,10006
2,ppo_c2_s7,7,ppo,2.288874945017324,7.704103637026934,0.0,7.000000000000001,51.0,1.02,51,0,-0.6430475695169856,0,0.51,7,10007
2,ppo_c2_s7,7,ppo,2.357533517918588,7.3926067668126985,0.0,7.000000000000001,47.0,0.94,47,0,-0.6116787142345363,0,0.47,8,10008
2,ppo_c2_s7,7,ppo,2.334983111581106,7.56153475811312,0.0,6.800000000000001,47.0,0.94,47,0,-0.6020359706639342,0,0.47,9,10009
2,ppo_c2_s8,8,ppo,2.378489841012754,7.657193309938908,0.0,7.8,44.0,0.88,44,0,-0.6256024638315141,0,0.44,0,10000
2,ppo_c2_s8,8,ppo,2.3655644352723986,8.70508019085569,0.0,8.799999999999999,48.0,0.96,48,0,-0.69868947979312,0,0.48,1,10001
2,ppo_c2_s8,8,ppo,2.2816941769778847,7.253870362149814,0.0,7.6,49.0,0.98,49,0,-0.6020610454635946,0,0.49,2,10002
2,ppo_c2_s8,8,ppo,2.2414848033924124,7.958791304477136,0.0,8.0,48.0,0.96,48,0,-0.6266080322204672,0,0.48,3,10003
2,ppo_c2_s8,8,ppo,2.340755143850898,7.68481058104621,0.0,8.200000000000001,51.0,1.02,51,0,-0.6225428804071103,0,0.51,4,10004
2,ppo_c2_s8,8,ppo,2.2678807026612047,8.659326909104713,0.0,5.800000000000001,53.0,1.06,53,0,-0.7136570610845725,0,0.53,5,10005
2,ppo_c2_s8,8,ppo,2.2723567849584048,7.839487545682129,0.0,8.200000000000001,48.0,0.96,48,0,-0.6691071779312012,0,0.48,6,10006
2,ppo_c2_s8,8,ppo,2.335155936134568,7.704103637026934,0.0,8.799999999999999,46.0,0.92,46,0,-0.6016693920409695,0,0.46,7,10007
2,ppo_c2_s8,8,ppo,2.3904722591703704,8.261627920289122,0.0,7.6,45.0,0.9,45,0,-0.6513296264680934,0,0.45,8,10008
2,ppo_c2_s8,8,ppo,2.27904585511767,7.558290190292121,0.0,7.000000000000001,49.0,0.98,49,0,-0.6135599809705836,0,0.49,9,10009
2,ppo_c2_s9,9,ppo,2.3071923737110445,7.347766777952396,0.0,6.800000000000001,48.0,0.96,48,0,-0.6120153393720211,0,0.48,0,10000
2,ppo_c2_s9,9,ppo,2.3252310701797723,8.70508019085569,0.0,7.8,49.0,0.98,49,0,-0.7239497778362263,0,0.49,1,10001
2,ppo_c2_s9,9,ppo,2.313308365166235,7.52011382237611,0.0,8.4,48.0,0.96,48,0,-0.676210782583008,0,0.48,2,10002
2,ppo_c2_s9,9,ppo,2.1903634766086197,7.369433366119896,0.0,6.0,52.0,1.04,52,0,-0.6358271368777488,0,0.52,3,10003
2,ppo_c2_s9,9,ppo,2.300966407820521,8.971254284610232,0.0,6.4,53.0,1.06,53,0,-0.6852893782890639,0,0.53,4,10004
2,ppo_c2_s9,9,ppo,2.294283701615623,8.659326909104713,0.0,6.800000000000001,50.0,1.0,50,0,-0.7010405444887442,0,0.5,5,10005
2,ppo_c2_s9,9,ppo,2.25699872286168,7.411818824428914,0.0,7.8,49.0,0.98,49,0,-0.638903018291995,0,0.49,6,10006
2,ppo_c2_s9,9,ppo,2.3053117208051406,7.704103637026934,0.0,7.199999999999999,50.0,1.0,50,0,-0.6401635585815586,0,0.5,7,10007
2,ppo_c2_s9,9,ppo,2.3179059466544385,7.935715151565363,0.0,6.800000000000001,49.0,0.98,49,0,-0.7161331560218045,0,0.49,8,10008
2,ppo_c2_s9,9,ppo,2.277172051111146,7.307064889001435,0.0,6.2,51.0,1.02,51,0,-0.654392276940867,0,0.51,9,10009
4,ppo_c4_s0,0,ppo,2.141312708603898,7.5921703119098005,0.0,6.2,57.0,1.14,57,0,-0.6929670299879407,0,0.285,0,10000
4,ppo_c4_s0,0,ppo,2.1714987583137826,8.70508019085569,0.0,6.2,58.0,1.16,58,0,-0.8000038636472018,0,0.29,1,10001
4,ppo_c4_s0,0,ppo,2.142135930374434,8.090691170922787,0.0,5.800000000000001,58.0,1.16,58,0,-0.7568935040075055,0,0.29,2,10002
4,ppo_c4_s0,0,ppo,2.1260024369842996,7.942361440380318,0.0,6.4,56.0,1.12,56,0,-0.7006733166517732,0,0.28,3,10003
4,ppo_c4_s0,0,ppo,2.2351861998499016,7.656018176469663,0.0,7.199999999999999,57.0,1.14,57,0,-0.6848437885962082,0,0.285,4,10004
4,ppo_c4_s0,0,ppo,2.1592210481679874,7.262072344350769,0.0,5.6000000000000005,59.0,1.18,59,0,-0.6949556340592538,0,0.295,5,10005
4,ppo_c4_s0,0,ppo,2.1129917054771696,7.123331653224757,0.0,7.000000000000001,58.0,1.16,58,0,-0.7601633285916634,0,0.29,6,10006
4,ppo_c4_s0,0,ppo,2.085046772635482,7.424748167952599,0.0,6.4,63.0,1.26,63,0,-0.7216654237753755,0,0.315,7,10007
4,ppo_c4_s0,0,ppo,2.1874161665857974,8.427218511339694,0.0,7.3999999999999995,58.0,1.16,58,0,-0.7885153263843396,0,0.29,8,10008
4,ppo_c4_s0,0,ppo,2.1609384616833744,7.353041992845202,0.0,6.0,57.0,1.14,57,0,-0.6583404516369935,0,0.285,9,10009
4,ppo_c4_s1,1,ppo,2.13285432944795,7.49421134595461,0.0,4.8,59.0,1.18,59,0,-0.6867707811608378,0,0.295,0,10000
4,ppo_c4_s1,1,ppo,2.1142232533113536,8.235635937843009,0.0,6.2,63.0,1.26,63,0,-0.7889792114043539,0,0.315,1,10001
4,ppo_c4_s1,1,ppo,2.0942185172264627,7.861831811532215,0.0,4.6,60.0,1.2,60,0,-0.7127431578739896,0,0.3,2,10002
4,ppo_c4_s1,1,ppo,2.0643315024847197,7.751895075864621,0.0,4.2,58.0,1.16,58,0,-0.6525546978363914,0,0.29,3,10003
4,ppo_c4_s1,1,ppo,2.1759145750248403,6.735576479218931,0.0,5.800000000000001,60.0,1.2,60,0,-0.6994448442149888,0,0.3,4,10004
