arm,label,K,cost_mean,cost_sd,cost_max,frac_cost0,peak_next_base_mean,best_immediate_reward,best_action_cost,best_action_excess,median_immediate_reward
nest56,C=inf  Discrete(56) nested,56,1.7857142857142858,0.45175395145262565,2.0,0.017857142857142856,7.179830921114233,-0.1906480236675594,2.0,0.22279624026188025,-0.2427000458823852
nest486,C=inf  Discrete(486) nested,486,12.061728395061728,5.1612173868076,25.0,0.00205761316872428,7.179830921114233,-0.12077714839485998,10.0,0.10521469890039306,-0.2251058145728198
nest6498,C=inf  Discrete(6498) nested,6498,13.249615266235764,4.053184515293464,28.0,0.0001538935056940597,7.179830921114233,-0.09359139284803497,9.0,0.09207266473148935,-0.2245361700838479
nest59049,C=inf  Discrete(59049) = full,59049,13.333333333333334,3.9440531887330774,30.0,1.6935087808430286e-05,7.179830921114233,-0.0752752214806072,7.0,0.0913987046482228,-0.22466084299562417
rnd56,C=inf  Discrete(56) RANDOM [neg ctl],56,13.839285714285714,3.9223570979809614,23.0,0.0,7.179830921114233,-0.14523995571976317,9.0,0.08916645423777089,-0.22388487763090203
c2proj,C=2    Discrete(59049)+project,59049,13.333333333333334,3.9440531887330774,30.0,1.6935087808430286e-05,7.179830921114233,-0.0752752214806072,7.0,0.0913987046482228,-0.22466084299562417
full_space,3**10 joint space (K=59049),59049,13.333333333333334,3.9440531887330774,30.0,1.6935087808430286e-05,7.179830921114233,-0.0752752214806072,7.0,0.005275221480607196,-0.22466084299562417
