arm,mean_bi,mean_bi_sd,cost,cost_sd,weeks10,weeks10_sd,bi_averted,cost_per_bi_averted
calendar,2.985344477212934,0.06195663442201175,23.9,2.0789954839350235,0.2,0.21081851067789195,0.5615458840571259,42.56108125541645
none,3.54689036127006,0.044878669499088794,0.0,0.0,1.1800000000000002,0.5692099788303083,0.0,
ppo_a0.1_s0_acts012,2.027309091298579,0.0273188618588585,64.6,1.9550504398153568,0.0,0.0,1.5195812699714808,42.51171113816926
ppo_a0.1_s1_acts012,2.1577867583363566,0.050863431004930515,56.7,2.5841396591085743,0.0,0.0,1.3891036029337034,40.81768982547666
ppo_a0.1_s2_acts012,2.176064607437662,0.05441679082694883,55.7,2.4060109910158114,0.0,0.0,1.3708257538323978,40.63244350660929
threshold,3.54689036127006,0.044878669499088794,0.0,0.0,1.1800000000000002,0.5692099788303083,0.0,
