C_max,n_candidates,vectorised_sec_per_step,naive_sec_per_full_enum_est
2,56,5.74792007682845e-05,3.5107296425849197e-06
4,486,0.00012253339955350384,0.00028313144887215456
6,2193,0.00034561250067781656,0.005536703942317399
8,6498,0.001132741699984763,0.038282262616907245
12,25149,0.003507620899472386,0.15370880180681998
inf,59049,0.008497508299478795,0.33621614863859434
