arm,label,n_seeds,ret_mean,ret_sd,ret_min,ret_max,bi_mean,cost_mean,util_mean,infeas_mean,ret_se,n_paired_seeds,delta_vs_md,delta_sd,delta_se,t
c2proj,C=2    Discrete(59049)+project,3,-1.1835386730867359,0.08767368049527599,-1.2832681429943575,-1.1186008204877163,2.0223085721925926,89.66666666666667,0.8966666666666666,50.0,0.05061842303479284,3.0,-0.4772422661901903,0.12587733056505251,0.07267531068660459,-6.566772975325648
md,C=inf  MultiDiscrete (status quo),10,-0.6907430442540272,0.030029567724187942,-0.75720318506607,-0.6565148551567302,2.166335926513297,55.879999999999995,,0.0,0.009496183115871292,,,,,
nest486,C=inf  Discrete(486) nested,10,-0.7269533971169375,0.08904424985313845,-0.9315200375714717,-0.6619308755913336,2.1882610200394064,57.970000000000006,,0.0,0.02815826420770312,10.0,-0.03621035286291034,0.10432085139252918,0.03298914978483404,-1.0976443193924679
nest56,C=inf  Discrete(56) nested,10,-0.6583155615169888,0.01781402310288014,-0.6863371618973356,-0.6367515845380253,2.302531652677167,49.3,,0.0,0.005633288729596126,10.0,0.0324274827370384,0.02832979809734837,0.00895866876403254,3.6196764933679626
nest59049,C=inf  Discrete(59049) = full,3,-3.303624645724593,0.7294742720138182,-3.903589741243613,-2.491622443411442,1.6902519308823578,239.4,,0.0,0.42116216731408423,3.0,-2.5973282388280476,0.6923600705174107,0.39973427308937537,-6.497637089645598
nest6498,C=inf  Discrete(6498) nested,10,-1.1473408354131946,0.15705200236170225,-1.392496955687347,-0.9123816753916636,1.8389079786802074,102.03,,0.0,0.049664203855312256,10.0,-0.4565977911591673,0.1600594402949343,0.05061523923437252,-9.020954915275682
rnd56,C=inf  Discrete(56) RANDOM [neg ctl],3,-3.317108939421983,0.011801439740069704,-3.3292733497205482,-3.3057074935839723,1.2247651701430178,326.46666666666664,,0.0,0.006813564410754391,3.0,-2.6108125325254377,0.05606867325491396,0.03237126359682974,-80.65216622501958
