C_max,unconstrained_pergrid_optimum,joint_mpc1,pergrid_opt_projected,mpc1_gap_to_unconstrained,pct_of_unconstrained_optimum_achieved
2,-0.42770473959808386,-1.168627136187678,-0.8112434573093669,-0.7409223965895942,273.23221559009204
4,-0.42770473959808386,-1.025711915687848,-0.570435507934112,-0.5980071760897642,239.81775760813738
6,-0.42770473959808386,-0.9686938604736022,-0.4834917963437387,-0.5409891208755183,226.48658543833028
8,-0.42770473959808386,-0.9686938604736022,-0.4277047395980839,-0.5409891208755183,226.48658543833028
12,-0.42770473959808386,-0.9686938604736022,-0.4277047395980839,-0.5409891208755183,226.48658543833028
