arm,label,seed,model,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
md,C=inf  MultiDiscrete (status quo),3,ppo_cinf_s3,2.3136297584611003,7.3752349347914015,0.0,6.6000000000000005,52.0,1.04,52,0,-0.6235415945365482,0,,4,10004
md,C=inf  MultiDiscrete (status quo),3,ppo_cinf_s3,2.325914269094497,8.030224822370407,0.0,7.8,49.0,0.98,49,0,-0.6854324634057871,0,,5,10005
md,C=inf  MultiDiscrete (status quo),3,ppo_cinf_s3,2.225022888974566,7.822161783939367,0.0,6.0,51.0,1.02,51,0,-0.6941141912351136,0,,6,10006
md,C=inf  MultiDiscrete (status quo),3,ppo_cinf_s3,2.2976776119650757,6.784419842083096,0.0,8.0,51.0,1.02,51,0,-0.6147602174383157,0,,7,10007
md,C=inf  MultiDiscrete (status quo),3,ppo_cinf_s3,2.2005316232079837,7.640492924153414,0.0,5.800000000000001,55.0,1.1,55,0,-0.6933048875086036,0,,8,10008
md,C=inf  MultiDiscrete (status quo),3,ppo_cinf_s3,2.2650808993815463,7.924138908050765,0.0,6.4,51.0,1.02,51,0,-0.6791502692519713,0,,9,10009
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.1646277895946215,7.252460401688872,0.0,6.2,57.0,1.14,57,0,-0.6550349027859372,0,,0,10000
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.1469289956242057,8.70508019085569,0.0,5.6000000000000005,57.0,1.14,57,0,-0.708522120949246,0,,1,10001
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.146895706573395,7.046852569515854,0.0,6.2,59.0,1.18,59,0,-0.7315243698727573,0,,2,10002
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.1213420948239463,7.9820555504591235,0.0,6.4,56.0,1.12,56,0,-0.7209207699365217,0,,3,10003
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.2168012923672977,7.724114899086885,0.0,5.2,58.0,1.16,58,0,-0.669656379617813,0,,4,10004
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.1978681013670793,8.659326909104713,0.0,6.0,58.0,1.16,58,0,-0.7890271541860983,0,,5,10005
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.1542845682535474,7.611784278772909,0.0,6.6000000000000005,55.0,1.1,55,0,-0.7174375027426456,0,,6,10006
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.1270788276918586,7.704103637026934,0.0,4.8,59.0,1.18,59,0,-0.7162678906858855,0,,7,10007
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.12076750144504,7.363361478177297,0.0,5.4,60.0,1.2,60,0,-0.729028379195815,0,,8,10008
md,C=inf  MultiDiscrete (status quo),4,ppo_cinf_s4,2.0885687178385313,7.732867812602362,0.0,4.0,60.0,1.2,60,0,-0.6968591754823891,0,,9,10009
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.268808008842766,7.442860369008484,0.0,6.800000000000001,49.0,0.98,49,0,-0.6329334474278886,0,,0,10000
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.2153074875105547,8.70508019085569,0.0,7.199999999999999,53.0,1.06,53,0,-0.6971016098878636,0,,1,10001
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.2405694061140085,7.1982876253819565,0.0,7.000000000000001,51.0,1.02,51,0,-0.6165664218495914,0,,2,10002
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.1794134379767547,7.7779326918386165,0.0,7.000000000000001,50.0,1.0,50,0,-0.6343307115478383,0,,3,10003
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.3063177757625315,7.673401874773484,0.0,6.4,51.0,1.02,51,0,-0.6698881252148987,0,,4,10004
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.259579424738948,8.659326909104713,0.0,6.6000000000000005,54.0,1.08,54,0,-0.7677451541121125,0,,5,10005
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.19062424110006,7.5821163201636015,0.0,7.3999999999999995,53.0,1.06,53,0,-0.6724063851666231,0,,6,10006
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.2588272474114874,7.704103637026934,0.0,8.200000000000001,52.0,1.04,52,0,-0.6795140896306868,0,,7,10007
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.217115371847729,7.363361478177297,0.0,5.0,54.0,1.08,54,0,-0.6556694631462825,0,,8,10008
md,C=inf  MultiDiscrete (status quo),5,ppo_cinf_s5,2.231753898213235,7.092656473744137,0.0,6.2,52.0,1.04,52,0,-0.620440843255031,0,,9,10009
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.1624284201106483,7.532508759298518,0.0,5.800000000000001,56.0,1.12,56,0,-0.6656808002592993,0,,0,10000
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.1470744620668234,8.70508019085569,0.0,6.4,57.0,1.14,57,0,-0.7345580632738471,0,,1,10001
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.1934922078662114,8.978823547612004,0.0,7.199999999999999,55.0,1.1,55,0,-0.747554763882072,0,,2,10002
