alpha,mean_bi,weeks_bi_ge10_pct,total_cost
0.0,0.3461000479855117,0.0,655.4
0.05,2.013824905755031,0.0,63.5
0.1,2.027309091298579,0.0,64.6
0.2,2.353987816944449,0.02,49.2
0.5,2.4250795388618536,0.0,50.1
