week_in_year,BI_conghua,BI_huadu,BI_zengcheng,BI_baiyun,BI_tianhe,BI_yuexiu,BI_haizhu,BI_panyu,BI_nansha,BI_huangpu,n_sr,n_sp,cost
2,0.2165181086485994,0.991816087613378,1.5027757015257126,0.0,0.4791088794137453,0.0,2.5594963083608646,0.17137569193995056,3.0381093225084483,0.0,0,0,0.0
3,2.8437580926110346,0.0,1.0762560503464065,0.0,0.0,3.6635430723344955,3.0479745218623573,0.5814004233742196,0.0,0.15813463323283627,0,0,0.0
4,1.8212846040217001,0.0,0.0,0.0,0.653117936112165,0.7506018827024443,0.0,0.0,0.0,1.7265043476307946,0,0,0.0
5,1.555694307687641,2.3240184986516286,0.0,0.0,0.8198635752566964,0.5067708620727498,0.9557921423554547,0.623398244717531,0.0,0.0,0,0,0.0
6,0.7633489202927559,0.0,0.9786634422353668,1.720806435272318,0.0,0.3906130875809111,0.0,1.9252211298695943,0.0,0.9695305752825191,0,0,0.0
7,0.09669076503030447,0.0,0.0,0.13579043296828092,1.5448116237409901,1.0680377167587176,0.20683050926565894,1.5432244167733877,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.16249657728196898,0.0,0.24999620751164559,0.30400849316728984,1.1605176431206101,0,0,0.0
9,1.2172937322877222,1.7030618625500926,3.1562405935187705,1.8481898073091738,0.0,0.0,0.0,0.9284909255045323,0.0,0.5039583294139042,0,0,0.0
10,4.024348351076778,1.7360415632359696,0.0523824233175767,0.8049451232473726,0.0,3.540166803323436,1.0176973176135125,2.562093473823786,3.618269714598449,0.0,0,0,0.0
11,1.4273444080476705,0.47020624991165394,3.1115033414906024,2.7850832185557515,4.443751324918466,2.6747007937462994,4.89389222484235,3.0460653801917514,3.1983451594383925,1.5844667826484184,0,0,0.0
12,1.5565826036850992,4.8079462681462655,2.484921734848705,2.1887591342502555,2.8807093257185246,2.3220123373874704,1.5262050756400516,1.776538241445535,3.049277983380546,2.085438751393454,0,0,0.0
13,0.0,2.9791173571593617,2.776192769718671,0.536097565912049,3.075346215915678,0.6665809707332873,4.770231411628276,3.9392831023307293,1.7629822583493167,0.2723134935813347,0,0,0.0
14,3.3160643268797143,0.0,1.6874469317103733,0.12723145580121398,0.8945404421310346,0.0,1.9514084092196389,0.9304765148386431,0.7384264497232049,0.722609885009826,0,0,0.0
15,1.6461866070506104,1.5366746304179086,2.0522669312193464,2.0980932609058414,1.6173977816815075,2.5731373039033487,2.427074185522116,4.3776609817466605,1.620792764485214,1.471138503976963,0,0,0.0
16,3.231719456903358,5.182084944698223,4.012996220900407,3.1218595292815374,3.436139860427141,4.690144340446456,5.3413039196165215,3.9087027973695005,1.872467010807983,6.753558308642695,0,0,0.0
17,4.611708861767567,1.0597954493256205,4.4433360632208245,6.097851837154951,9.647813072072946,6.259483408240087,3.1047013719062875,7.216781738110513,6.2226102546786555,7.914300818555927,0,0,0.0
18,2.5792107157961426,3.101485657409546,3.840560405251383,4.467761865274079,5.076802598049652,6.495458892820197,4.0406861585359986,5.86420069886938,3.7635884015434167,3.176890434586295,0,0,0.0
19,3.1799030904561016,1.214453075461544,2.1705940895969786,2.145663315105457,6.621242697344054,5.470675014538593,7.115720814043024,6.7937653495016175,4.536957810332328,7.431595163337598,0,0,0.0
20,3.1597157007054437,3.746620238913284,4.913191187196304,5.691441125500835,5.547932362913272,1.8341791887142476,6.064032422072014,2.4988980343439877,3.1090906751045537,4.690276997083563,0,0,0.0
21,5.856165667461645,5.389080485909931,7.207048788374592,6.718817351394936,8.30173212660337,7.239199722333992,7.532794238436486,5.853889757587649,4.411534583850893,7.80175632779039,0,0,0.0
22,5.439304456443474,5.146072794211135,4.197844567052644,7.767108957157161,9.297711540785269,8.563193608623951,7.95232504524278,7.7875079526980455,3.961855326851976,3.893818609698302,0,0,0.0
23,5.723297351071512,5.8826477627872755,5.438563762917382,8.45092811919485,6.183148888492077,8.427330840462586,7.058903932011397,9.201829092042146,1.3679209576598579,9.998831593144136,0,0,0.0
24,4.781824721054939,5.833253348167214,5.024902591254143,5.207663331767624,7.083032548833191,6.752992778868902,9.866644752864563,5.516499239968041,3.269983471022419,7.761309407631633,0,0,0.0
25,7.442860369008484,4.8163051696961805,6.575959894210487,5.76403816646611,9.000857154274266,4.4494977618607345,8.611968326946345,7.848456141053603,4.2917451336754615,9.049664027290717,0,0,0.0
26,4.905404628253927,5.9819776878879285,7.699767460939537,8.237088935414867,9.078194924671687,7.092774905752501,8.244831443503351,8.406514635842337,4.058560917096722,8.385763016879304,0,0,0.0
27,2.5241972345299497,5.5010714203958955,7.12207777382188,8.788191360550226,7.936234694845851,6.224996902174697,8.053356827859144,6.681196448193769,5.917518964570158,6.9131394242592155,0,0,0.0
28,2.8708879322533885,3.6535808818446953,3.9498241569726624,4.533911289679126,5.908685376302847,3.7325458080393967,6.837630063334936,5.51859086187791,3.1641188598026257,4.356828061463714,0,0,0.0
29,3.5621613833452512,4.778746022599182,4.601281608476683,5.6838437226122736,3.395545330527484,5.503078862308531,6.090251688463885,2.299688893932313,1.5176935878418507,3.3990261728602587,0,0,0.0
30,0.48290380473120065,0.0,4.202619444523741,0.0,1.009789762314109,2.355454220432135,0.5121083754556572,1.9275735780133236,4.732149455874449,1.2072967220799369,0,0,0.0
31,1.8301862390114616,6.033614042343137,6.940855453431385,10.27572678461861,6.695564336555396,8.353631998390728,8.070829199675458,6.943995176218427,5.112938443817346,9.89841404167542,0,0,0.0
32,2.2422893104243897,2.7666798753517425,4.419541919535805,7.321614956533118,9.422125196127107,5.211452944543486,7.315557577869135,6.132036595055595,3.610779496745775,6.45217628108249,0,0,0.0
33,3.766628000767932,5.351230850297935,8.113625235926579,8.823293968012974,9.9253123606116,8.54571231049567,6.7725007629471845,6.47476200033302,6.0227807019285216,8.740185520724735,0,0,0.0
34,7.886855405878485,5.420334745073356,4.464941321565574,4.088483829613075,6.183545376379724,6.853014444058889,8.227736284926939,8.048674273729876,4.366694066392623,8.504593158458285,0,0,0.0
35,5.987340624945998,6.557126108362572,6.37853480459847,7.465216429105498,7.899192184071293,9.728069910043196,8.679677313391982,7.975084397918301,2.5762266240092444,8.464110745814766,0,0,0.0
36,5.7429686255257355,6.729158027182528,8.34786661211771,8.135873103567244,7.635303045217854,4.777031851864891,8.482293985585482,5.47757641105826,3.2072986497558604,9.05241918373028,0,0,0.0
37,1.3732639370682551,3.995689073689104,2.040233347100189,5.66282677897836,3.9484084049765378,3.6375867108502353,4.6733784804177105,3.3311798168253075,1.9649644280245546,4.779157946194012,0,0,0.0
38,5.68957822928893,2.055755138682962,3.54744056130403,5.628029479625576,9.285675675920995,9.330009921740402,4.541715171438826,5.486052822091862,1.595477150118716,7.782382266007035,0,0,0.0
39,0.8568510505116682,2.7833646050632175,7.3346136156813415,8.080021195490822,8.633611860633513,7.9252923789218395,9.717519576767721,9.027707995520238,3.9811305123876175,6.558359093325491,0,0,0.0
40,0.8846209913891047,2.366363709095401,3.049953911841649,0.9024672124252926,6.197722907038716,5.928559855500793,5.223634281749309,0.3632635834806437,2.6670311497315047,2.5333984314115368,0,0,0.0
41,3.927579799551291,0.1015422824881187,0.0,2.6444031026010286,0.0,2.202583947288265,0.75516675419925,0.6553492845747577,2.8301693284043243,2.0016832546239267,0,0,0.0
42,0.0,1.1887432371972708,0.0,1.7739235125014712,2.5300503133082644,2.4920364399269275,2.965967623673693,3.0009078984503446,0.0,0.0,0,0,0.0
