eval_seed,A1_max_abs_diff_joint_vs_pergrid,A2_pergrid_optimum_sum,A2_joint_return_of_pergrid_optima,A2_sum_pergrid_of_same_actions,A2_gap_joint_minus_pergrid_sum,A3_joint_onestep_max_reward,A3_pergrid_onestep_reward,A3_gap_joint_minus_pergrid,A4_joint_mpc1_horizon_return,A4_pergrid_optimum_minus_mpc1,A5_env_realised_return,A5_replay_minus_env
10000,5.329070518200751e-15,-0.42770473959808386,-0.4277047395980839,-0.42770473959808386,-5.551115123125783e-17,-0.0,-0.0,0.0,-0.9686938604736022,0.5409891208755183,-0.4277047395980839,0.0
10001,6.217248937900877e-15,-0.4393879242743223,-0.43938792427432233,-0.4393879242743223,-5.551115123125783e-17,-0.0,-0.0,0.0,-1.2696702362346397,0.8302823119603174,-0.43938792427432233,0.0
10002,5.329070518200751e-15,-0.41018801751287565,-0.41018801751287565,-0.41018801751287565,0.0,-0.0,-0.0,0.0,-1.1971494470073638,0.7869614294944882,-0.41018801751287565,0.0
