C_max,fold_year,arm,n,ret_mean,ret_sd,bi_mean,cost_mean
2,2015,calendar,10,-1.9468183893648088,0.12300291175303339,3.073912453023071,23.9
2,2015,mpc1,10,-1.392554334730852,0.1597960392172632,3.0731895912195752,20.0
2,2015,none,10,-4.589864253253184,0.3080863557681101,3.6454570049282786,0.0
2,2015,ppo,100,-0.666612908893706,0.04599227865106862,2.3155394623256247,52.04
2,2015,threshold,10,-4.589864253253184,0.3080863557681101,3.6454570049282786,0.0
2,2016,calendar,10,-2.3262343351299517,0.1946426987673266,3.2134362831506174,22.7
2,2016,mpc1,10,-1.4008832438139431,0.16180089156833571,3.0792083226045373,24.0
2,2016,none,10,-5.193404621462781,0.36250241803928973,3.7579094253263263,0.0
2,2016,ppo,100,-0.720016524116093,0.06339752517114706,2.4367996028973176,49.27
2,2016,threshold,10,-5.193404621462781,0.36250241803928973,3.7579094253263263,0.0
2,2017,calendar,10,-1.882570334435154,0.15657999032307876,3.168671887704524,24.0
2,2017,mpc1,10,-1.6295371030698125,0.10792685003668334,3.2562455205375067,17.0
2,2017,none,10,-4.747510703923905,0.22750678396868276,3.7666666692401263,0.0
2,2017,ppo,100,-0.6559837024960181,0.03778583799069366,2.379367797038034,51.6
2,2017,threshold,10,-4.747510703923905,0.22750678396868276,3.7666666692401263,0.0
2,2018,calendar,10,-1.7797351583999537,0.14126561635792984,3.018656369314069,22.6
2,2018,mpc1,10,-1.470421034029242,0.15969016146064935,3.0233293134371833,20.0
2,2018,none,10,-5.045521587582014,0.35226920453498,3.5928322193731512,0.0
2,2018,ppo,100,-0.639512077664681,0.03829252041788667,2.27419633287307,49.72
2,2018,threshold,10,-5.045521587582014,0.35226920453498,3.5928322193731512,0.0
2,2019,calendar,10,-2.231687147930678,0.2046401628572734,3.3322876310565874,23.4
2,2019,mpc1,10,-1.516196612510391,0.1250109308592307,3.232519873325699,23.0
2,2019,none,10,-5.829047719635499,0.3884670724435858,3.9176913175692247,0.0
2,2019,ppo,100,-0.6864932779348552,0.05137550641268667,2.5170055127038053,49.57
2,2019,threshold,10,-5.829047719635499,0.3884670724435858,3.9176913175692247,0.0
2,2020,calendar,10,-2.0033414461677,0.21788431093167152,3.0042903706146338,22.4
2,2020,mpc1,10,-1.505210527229553,0.14111924996837724,3.0167673743433503,18.0
2,2020,none,10,-4.787733699305451,0.2990483292791206,3.5155930535726143,0.0
2,2020,ppo,100,-0.679506666105771,0.04623240257555639,2.305078731190038,49.82
2,2020,threshold,10,-4.787733699305451,0.2990483292791206,3.5155930535726143,0.0
2,2021,calendar,10,-2.1435341925175466,0.2133438721700745,3.3200437206872726,24.0
2,2021,mpc1,10,-1.5745407749498992,0.1223279974632528,3.2855076900876434,23.0
2,2021,none,10,-5.652458098772748,0.3040652251913066,3.9450162565367135,0.0
2,2021,ppo,100,-0.7355058780679768,0.0592930342718853,2.5653755953193174,48.58
2,2021,threshold,10,-5.652458098772748,0.3040652251913066,3.9450162565367135,0.0
2,2022,calendar,10,-1.7424889901506102,0.16344253710268447,3.026554065818902,22.5
2,2022,mpc1,10,-1.3993298550373483,0.15634819793445467,3.0519920938729186,18.0
2,2022,none,10,-4.2365163971968345,0.23256022124653974,3.54689036127006,0.0
2,2022,ppo,100,-0.6583155615169889,0.03884073079840876,2.302531652677167,49.3
2,2022,threshold,10,-4.2365163971968345,0.23256022124653974,3.54689036127006,0.0
