C_max,arm,n_seeds,ret_mean,ret_sd,ret_min,ret_max,bi_mean,cost_mean,ret_se
12,a2c,3,-1.1210897980709547,0.12728545892775858,-1.2502683980687448,-0.9957859608391338,2.10287106161871,83.73333333333333,0.07348829397586648
12,calendar,1,-0.8858282017350048,,-0.8858282017350048,-0.8858282017350048,2.226476275173974,56.7,
12,mpc1,1,-1.1548991209968578,,-1.1548991209968578,-1.1548991209968578,2.9606569715142514,22.0,
12,none,1,-4.236516397196834,,-4.236516397196834,-4.236516397196834,3.54689036127006,0.0,
12,ppo,10,-1.5220548309236706,0.28883042546110693,-2.2023486427035883,-1.2308835158797218,1.6782849080180937,133.37,0.09133620020125867
12,threshold,1,-3.0123348439788473,,-3.0123348439788473,-3.0123348439788473,2.645740669706114,206.4,
2,a2c,3,-0.6691428304507779,0.025415384754001732,-0.6844857910266726,-0.6398060102677621,2.306885630060877,48.833333333333336,0.01467357922928081
2,calendar,1,-1.7424889901506102,,-1.7424889901506102,-1.7424889901506102,3.0265540658189014,22.5,
2,dqn,3,-3.172466150493746,0.3659574607475618,-3.4914743660684544,-2.7729616638031835,2.695767507208952,80.36666666666666,0.21128563847455673
2,mpc1,1,-1.399329855037348,,-1.399329855037348,-1.399329855037348,3.0519920938729186,18.0,
2,none,1,-4.236516397196834,,-4.236516397196834,-4.236516397196834,3.54689036127006,0.0,
2,ppo,10,-0.6583155615169888,0.01781402310288014,-0.6863371618973356,-0.6367515845380253,2.302531652677167,49.3,0.005633288729596126
2,threshold,1,-4.236516397196834,,-4.236516397196834,-4.236516397196834,3.54689036127006,0.0,
4,a2c,3,-0.8603937504904833,0.03932553437646666,-0.8936171708265827,-0.816974375189625,2.149479347638708,68.06666666666666,0.022704607858278908
4,calendar,1,-0.9760237540802634,,-0.9760237540802634,-0.9760237540802634,2.6045977231101625,41.0,
4,mpc1,1,-1.1768111342544547,,-1.1768111342544547,-1.1768111342544547,2.9819536852949087,21.0,
4,none,1,-4.236516397196834,,-4.236516397196834,-4.236516397196834,3.54689036127006,0.0,
4,ppo,10,-0.6926534988329922,0.01816883229926916,-0.7259021667338256,-0.6645934943791305,2.191210239879194,54.529999999999994,0.0057454892491324554
4,threshold,1,-3.3718939292643846,,-3.3718939292643846,-3.3718939292643846,3.196649459989975,79.2,
6,a2c,3,-0.9850363554545211,0.28393793718218685,-1.3019596917515304,-0.7538391983473587,2.2103525298435414,64.46666666666665,0.16393164446528263
6,calendar,1,-0.8915898292173428,,-0.8915898292173428,-0.8915898292173428,2.327698550314046,52.8,
6,dqn,3,-2.955411060087087,0.5837761045031933,-3.4060990887331934,-2.2959532751747584,1.8883510158962895,188.79999999999998,0.33704329108138975
6,mpc1,1,-1.1548991209968578,,-1.1548991209968578,-1.1548991209968578,2.9606569715142514,22.0,
6,none,1,-4.236516397196834,,-4.236516397196834,-4.236516397196834,3.54689036127006,0.0,
6,ppo,10,-0.8298968995630739,0.07769353822154527,-0.933110546281592,-0.7265982454771143,2.0721613874597304,68.44,0.024568854025743072
6,threshold,1,-3.0005890740699304,,-3.0005890740699304,-3.0005890740699304,2.91300463235698,144.0,
8,a2c,3,-0.9122335821667743,0.09306013793933034,-0.983735089271787,-0.807014561509272,2.051705855849895,72.8,0.05372829569009608
8,calendar,1,-0.8839530131071806,,-0.8839530131071806,-0.8839530131071806,2.2429071104125056,56.0,
8,mpc1,1,-1.1548991209968578,,-1.1548991209968578,-1.1548991209968578,2.9606569715142514,22.0,
8,none,1,-4.236516397196834,,-4.236516397196834,-4.236516397196834,3.54689036127006,0.0,
8,ppo,10,-1.0571225477195338,0.11953653583513221,-1.2258727581926545,-0.8668443718061729,1.8607906129557132,93.01,0.03780077168453555
8,threshold,1,-3.0005890740699304,,-3.0005890740699304,-3.0005890740699304,2.91300463235698,144.0,
inf,a2c,3,-0.833658815107912,0.06380342706480271,-0.89756342424962,-0.7699570538007964,2.2094597318789426,56.166666666666664,0.0368369257910845
inf,calendar,1,-0.8858282017350048,,-0.8858282017350048,-0.8858282017350048,2.226476275173974,56.7,
inf,mpc1,1,-1.1548991209968578,,-1.1548991209968578,-1.1548991209968578,2.9606569715142514,22.0,
inf,none,1,-4.236516397196834,,-4.236516397196834,-4.236516397196834,3.54689036127006,0.0,
inf,ppo,10,-0.6907430442540272,0.030029567724187942,-0.75720318506607,-0.6565148551567302,2.166335926513297,55.879999999999995,0.009496183115871292
inf,threshold,1,-3.0168572622230707,,-3.0168572622230707,-3.0168572622230707,2.587844556178894,219.6,
