#{"t_start": 1789403507.024843, "env_id": "None"}
r,l,t
-2.209781,51,0.968383
-1.831965,51,0.986666
-2.1039,51,1.004886
-1.933392,51,1.022998
-1.423684,51,1.042004
-1.562219,51,1.060193
-2.148227,51,1.078262
-1.571188,52,1.096751
-1.643803,51,1.114838
-1.932977,51,1.133007
-1.799614,51,1.151055
-1.629334,51,1.169146
-1.633198,51,1.187138
-1.518897,51,1.205187
-1.987222,51,1.223185
-1.473338,51,1.241192
-2.505845,51,1.259209
-1.71184,51,1.277297
-1.663919,51,1.295526
-1.727911,51,1.313622
-1.763705,51,1.331684
-2.334055,51,1.349657
-1.368167,51,1.367752
-2.910098,51,1.385716
-1.740611,51,1.403677
-2.371128,51,1.421699
-1.750154,51,1.439691
-2.101855,51,1.457689
-1.24691,50,1.475447
-1.769193,52,1.493867
-1.629301,50,1.51157
-1.914835,51,1.529597
-1.787345,51,1.548526
-1.530183,50,1.566714
-1.339789,52,1.585938
-1.433218,51,1.604151
-1.324924,51,1.622273
-2.533566,51,1.640354
-1.902245,52,1.658795
-1.357925,52,1.677185
-1.597656,52,1.872347
-1.986623,51,1.890674
-1.827888,51,1.910182
-1.584458,51,1.929139
-1.424011,51,1.94969
-1.521206,51,1.970697
-1.595542,50,1.990814
-2.044099,51,2.011525
-1.722472,51,2.034077
-1.534866,51,2.056683
-1.55558,51,2.07921
-1.759051,51,2.10154
-1.540192,51,2.125687
-1.694341,50,2.150762
-1.559914,51,2.17616
-2.039071,50,2.201066
-1.424969,51,2.226565
-1.75585,51,2.252278
-1.737385,52,2.280572
-2.124707,51,2.30695
-1.488316,51,2.332688
-1.893195,51,2.358383
-2.022666,51,2.384277
-1.676816,51,2.409954
-1.533597,51,2.437202
-2.580678,51,2.463565
-1.727101,51,2.489377
-1.451027,50,2.514761
-2.1775,52,2.541045
-1.686814,51,2.572463
-2.221734,51,2.599879
-1.449799,50,2.625136
-2.017686,51,2.654654
-1.556254,50,2.680372
-1.424894,51,2.706147
-1.787012,51,2.733261
-2.080849,51,2.760728
-1.350981,50,2.786804
-1.73651,51,2.81405
-1.737404,51,2.841009
-1.37584,51,3.130405
-1.627023,52,3.156888
-1.936554,51,3.184973
-1.729858,51,3.214456
-1.603032,51,3.243802
-1.794186,51,3.272794
-1.503173,50,3.299586
-1.213518,51,3.326477
-1.741531,51,3.353757
-1.623906,50,3.380949
-1.632909,50,3.409602
-1.392616,51,3.436582
-2.210318,51,3.462391
-1.437794,51,3.487744
-2.161608,51,3.51333
-1.631924,51,3.544824
-1.965339,51,3.573269
-2.104813,51,3.599927
-2.187936,51,3.625988
-1.824768,50,3.652269
-1.375844,52,3.67852
-1.654576,50,3.70442
-1.622415,50,3.731067
-1.760155,50,3.756004
-1.381255,51,3.78186
-1.701942,51,3.807403
-1.788292,51,3.833177
-1.568659,51,3.858658
-1.631717,50,3.883872
-1.516236,51,3.909487
-1.780764,51,3.934879
-1.723872,52,3.961105
-1.918837,51,3.986673
-2.082051,51,4.015326
-1.477162,51,4.042737
-1.532581,51,4.072405
-1.583325,51,4.101926
-1.545,52,4.133315
-1.772706,51,4.167137
-1.729767,51,4.200557
-1.41443,51,4.503665
-1.265756,52,4.531188
-2.142815,51,4.560861
-1.283916,50,4.587796
-1.789883,50,4.614775
-1.263513,51,4.644266
-1.470302,52,4.67401
-2.010697,51,4.704432
-1.832789,51,4.738275
-2.097463,52,4.766482
-1.445353,50,4.794576
-1.462325,52,4.8226
-1.425551,50,4.847658
-1.493163,51,4.873211
-1.83628,51,4.898721
-1.446297,51,4.924216
-1.718372,51,4.949505
-1.978413,51,4.974892
-1.667212,51,5.000363
-1.897382,51,5.116069
-1.534791,51,5.150395
-2.002021,51,5.179532
-1.849432,51,5.20839
-1.833589,51,5.236697
-1.796908,50,5.264105
-1.392619,50,5.292122
-1.451376,50,5.319084
-1.892362,51,5.346367
-2.056295,51,5.372101
-1.674822,51,5.397738
-1.954616,51,5.423798
-1.334419,50,5.449074
-1.478742,52,5.475504
-1.680969,51,5.501291
-1.833914,52,5.527516
-1.498763,51,5.552993
-1.749768,52,5.579101
-1.949866,51,5.604618
-1.691472,51,5.630128
-1.449018,51,5.65537
-2.3609,51,5.929879
-1.645693,50,5.955954
-1.96371,51,5.981784
-1.248457,50,6.007218
-1.48426,50,6.032872
-1.711536,51,6.065307
-1.623149,51,6.092716
-2.114231,51,6.118859
-1.624258,52,6.145277
-1.863287,52,6.171404
-1.632426,51,6.196887
-2.147061,51,6.222397
-1.528627,52,6.248588
-2.067327,51,6.274105
-1.507424,52,6.30017
-1.338376,51,6.325651
-1.843116,51,6.351254
-1.745768,51,6.376765
-1.592656,51,6.402237
-1.708534,51,6.427889
-1.554599,51,6.453424
-1.960661,51,6.478931
-1.795498,51,6.504467
-1.399217,51,6.530287
-1.928254,51,6.559752
-1.649543,52,6.587289
-1.818103,51,6.613234
-1.971191,51,6.639162
-1.441172,51,6.664739
-1.71081,52,6.690893
-1.568043,51,6.716366
-1.928669,51,6.741969
-1.495607,52,6.768082
-1.520984,51,6.793782
-1.540063,52,6.819933
-1.588817,50,6.845068
-1.531929,51,6.870544
-1.474655,51,6.896021
-1.384823,50,6.921034
-1.69437,52,6.946939
-1.856114,51,7.214701
-1.806689,51,7.241077
-1.364061,51,7.267172
-2.026939,51,7.293416
-1.89915,51,7.319611
-1.697974,51,7.348186
-1.577531,51,7.381326
-1.228032,51,7.409884
-1.830588,50,7.435714
-1.54928,52,7.46209
-1.749897,52,7.488439
-1.623672,51,7.5142
-1.721179,51,7.539963
-1.90053,51,7.565895
-1.728026,51,7.596788
-1.644647,51,7.622822
-1.492961,51,7.6487
-1.672616,51,7.676079
-1.842196,51,7.701683
-1.909334,51,7.727299
-1.785035,51,7.752759
-1.392997,51,7.778363
-1.482766,52,7.806074
