#{"t_start": 1789404494.160286, "env_id": "None"}
r,l,t
-1.38949,51,1.067578
-1.332327,50,1.090251
-1.494666,52,1.113097
-1.29766,50,1.1349
-1.64232,50,1.157888
-1.437426,51,1.180184
-1.705114,51,1.202345
-1.921171,51,1.22449
-2.191208,51,1.246533
-1.647555,51,1.268636
-1.435525,51,1.290703
-1.846793,51,1.312748
-1.738425,50,1.334539
-1.591694,50,1.356329
-1.736658,51,1.378429
-1.531976,51,1.400506
-1.39087,50,1.422477
-1.729684,50,1.444396
-1.641333,51,1.468209
-1.595962,51,1.493161
-1.789993,51,1.519597
-2.11181,51,1.542001
-1.998417,52,1.565933
-1.698283,52,1.589027
-2.033784,51,1.611319
-1.582323,50,1.633189
-1.997219,51,1.655424
-1.573794,51,1.677668
-1.49967,50,1.699559
-2.021655,51,1.721748
-1.444958,51,1.743907
-1.789913,51,1.766138
-1.809729,51,1.788458
-1.923562,51,1.810546
-1.843531,51,1.83266
-1.498367,50,1.854406
-1.679286,51,1.87649
-2.268768,51,1.900601
-1.59974,51,1.926723
-1.932063,51,1.952847
-1.595714,51,2.268731
-1.746124,52,2.295086
-1.9322,51,2.320835
-1.295996,50,2.345856
-1.622945,51,2.371371
-1.80381,51,2.396753
-1.737373,51,2.422225
-1.72299,51,2.451444
-1.652716,51,2.47843
-1.553877,51,2.504613
-1.931686,52,2.531262
-1.824985,51,2.557068
-1.330555,52,2.583301
-1.56862,51,2.609188
-1.460906,51,2.634728
-1.694643,51,2.660147
-1.896644,51,2.685772
-1.723276,51,2.711221
-1.933236,51,2.736786
-1.937621,51,2.762494
-1.878809,51,2.787714
-1.65393,50,2.812672
-1.680039,51,2.837998
-1.624044,50,2.862912
-1.943172,50,2.887892
-2.609621,51,2.913457
-2.219578,51,2.939884
-1.620496,51,2.965432
-1.971021,51,2.990946
-1.939262,51,3.016386
-1.644869,51,3.041656
-1.606247,51,3.066996
-1.808165,51,3.092494
-1.943036,51,3.121872
-2.104384,51,3.147731
-1.55258,50,3.173008
-1.541873,50,3.1981
-1.606801,51,3.223676
-2.073691,51,3.249056
-1.854777,51,3.274318
-1.342471,50,3.568469
-1.811266,51,3.594164
-1.897472,52,3.620546
-1.848773,52,3.646647
-1.693611,51,3.674994
-2.623539,51,3.702866
-2.612374,51,3.72873
-1.593424,51,3.756169
-1.878011,52,3.782407
-1.46613,51,3.808123
-1.649044,51,3.83525
-1.845841,52,3.862334
-2.145683,52,3.889487
-1.440804,50,3.917888
-2.135554,51,3.944317
-1.493542,51,3.970875
-1.46328,50,3.99597
-2.258641,50,4.020988
-1.769822,51,4.046487
-1.441402,51,4.071969
-1.951542,51,4.097307
-1.918559,50,4.122276
-1.418646,51,4.149496
-1.918536,51,4.174975
-1.889348,51,4.200338
-2.211338,51,4.227347
-1.770674,51,4.254336
-1.691169,52,4.281924
-1.69793,51,4.309258
-1.648916,51,4.336303
-1.519879,52,4.366021
-1.89363,51,4.39546
-1.477055,50,4.424475
-1.592813,51,4.453923
-1.477515,50,4.482691
-1.485848,50,4.512427
-1.783294,51,4.543902
-1.6687,51,4.574103
-1.987987,51,4.603888
-1.212693,51,4.633553
-1.739365,51,4.962205
-2.028151,51,4.998853
-1.908972,51,5.028835
-2.014657,51,5.058559
-1.418553,51,5.086339
-1.277667,50,5.113998
-1.785292,51,5.143947
-1.660611,51,5.173049
-1.671786,51,5.20192
-1.612384,50,5.228893
-1.735342,51,5.256413
-1.876162,52,5.286122
-2.13243,51,5.313394
-1.454294,51,5.342702
-2.03564,51,5.371948
-1.478589,52,5.401587
-1.444009,51,5.430863
-1.894434,51,5.461885
-1.872967,51,5.489414
-1.813157,50,5.518391
-1.753744,51,5.546147
-1.500488,50,5.575539
-1.683486,51,5.605051
-1.558031,51,5.634392
-1.817746,51,5.663766
-1.562732,51,5.692966
-1.923192,50,5.720367
-2.204931,51,5.749134
-1.489829,51,5.774789
-1.408918,51,5.803913
-1.635205,52,5.833897
-1.569123,51,5.864089
-1.367809,52,5.891973
-1.216795,50,5.919197
-1.878597,51,5.946885
-2.087554,51,5.976662
-1.654768,51,6.006652
-1.727997,51,6.034996
-1.611911,51,6.060644
-1.613904,51,6.086315
-1.962967,51,6.366923
-1.387764,50,6.392506
-2.062716,51,6.418112
-1.679969,51,6.443835
-1.842291,51,6.46944
-1.452869,51,6.496348
-1.447805,52,6.522781
-1.769732,51,6.548219
-2.149102,51,6.573587
-2.012324,51,6.598924
-1.609036,50,6.623908
-2.353927,51,6.64936
-1.756561,50,6.675465
-1.625014,51,6.701203
-1.653692,51,6.726678
-1.19932,50,6.751598
