#{"t_start": 1789365103.8127518, "env_id": "None"}
r,l,t
-2.147566,51,1.698461
-1.637878,51,1.74659
-1.711385,50,1.793491
-1.911861,51,1.838286
-1.705327,51,1.866567
-2.304636,51,1.893833
-1.695248,52,1.921655
-1.977557,52,1.948145
-1.913765,51,1.974185
-1.583535,51,2.002924
-1.871937,51,2.029945
-2.155121,51,2.05561
-1.661687,51,2.078851
-1.615338,51,2.122129
-1.999742,51,2.215734
-2.347581,51,2.283777
-1.348494,51,2.337342
-1.533244,51,2.424282
-1.619477,51,2.485186
-1.747784,51,2.529806
-1.593899,51,2.557978
-2.233843,51,2.58875
-1.394183,51,2.618489
-1.479197,50,2.646059
-1.741832,51,2.682969
-1.481537,51,2.723914
-2.232874,50,2.759684
-2.307595,50,2.78609
-1.90673,51,2.810788
-1.640856,51,2.840008
-1.529943,51,2.869784
-1.362539,51,2.901983
-2.308104,52,2.939304
-2.283412,51,2.969589
-1.923546,51,2.994668
-1.82352,50,3.023036
-1.741599,51,3.047165
-1.985014,51,3.071937
-1.754623,50,3.097066
-1.423732,51,3.123565
-1.604327,51,3.425313
-1.607822,51,3.449276
-1.52267,51,3.474267
-2.369521,51,3.497613
-1.520723,50,3.521504
-1.539453,51,3.544776
-1.604557,50,3.568007
-1.53819,51,3.5924
-1.707352,52,3.616262
-1.624685,50,3.639589
-2.005293,51,3.662699
-1.637585,51,3.686728
-1.542305,51,3.710368
-1.508015,51,3.738313
-1.471805,52,3.774243
-1.698157,51,3.809038
-1.445927,50,3.838981
-1.325306,51,3.870685
-1.926537,52,3.900001
-1.785394,51,3.93521
-2.867092,51,3.966329
-1.658099,51,3.99803
-1.732341,50,4.026888
-2.479382,52,4.057082
-1.617971,51,4.086062
-1.357062,51,4.114699
-1.470826,51,4.143299
-2.012929,51,4.173034
-1.729589,51,4.202945
-1.236689,50,4.233357
-1.48518,51,4.270391
-1.337772,50,4.300105
-1.816564,51,4.327921
-1.997159,51,4.357279
-1.618329,51,4.387048
-1.863318,52,4.417684
-1.671729,51,4.445083
-1.921479,51,4.473889
-1.657502,52,4.503741
-1.924738,51,4.530288
-1.897785,51,4.810143
-1.898989,51,4.832624
-1.829463,51,4.856929
-1.634614,52,4.880676
-1.622607,51,4.910595
-1.513274,52,4.944595
-1.388976,52,4.974857
-1.523679,51,5.002322
-2.197734,51,5.02785
-1.44192,50,5.052387
-1.861883,51,5.075672
-2.042182,51,5.098494
-1.883203,51,5.121332
-1.431201,52,5.14512
-1.753281,51,5.170847
-2.134069,51,5.194877
-1.500752,51,5.221173
-1.526561,51,5.245199
-1.809725,51,5.271396
-1.440817,51,5.293717
-1.691442,51,5.316527
-1.929275,51,5.341437
-1.647813,51,5.363366
-1.668894,51,5.387122
-2.089562,50,5.409178
-1.891782,51,5.43031
-2.11019,51,5.453418
-1.245861,51,5.475899
-1.648832,51,5.497085
-1.863375,51,5.519868
-1.602667,51,5.542327
-1.628704,51,5.566913
-1.706186,51,5.595579
-1.495585,50,5.621586
-1.611178,51,5.648267
-1.459354,51,5.676292
-1.395377,51,5.703628
-1.313316,51,5.728533
-1.887193,51,5.756141
-2.099554,51,5.782003
-1.858816,51,6.059483
-2.045459,51,6.091363
-1.710651,50,6.125386
-1.510056,52,6.165597
-1.697591,51,6.198064
-1.466485,51,6.243662
-1.847059,51,6.286346
-1.672568,51,6.324806
-1.82789,51,6.359662
-1.908721,51,6.393186
-2.371263,51,6.428463
-1.826793,51,6.460248
-1.493351,52,6.492449
-1.753935,52,6.528118
-1.224612,51,6.56414
-1.911366,51,6.601988
-1.4771,50,6.641542
-1.421175,51,6.710848
-1.608815,51,6.776182
-1.813047,51,6.818226
-1.533313,51,6.847852
-1.307309,50,6.879009
-1.948355,51,6.906719
