#{"t_start": 1789350835.278187, "env_id": "None"}
r,l,t
-2.790172,51,1.34072
-2.716272,52,1.375393
-2.801927,51,1.403837
-2.692939,51,1.43901
-2.744211,52,1.469614
-2.805537,51,1.503702
-2.745189,51,1.539664
-2.852126,51,1.578328
-2.706523,51,1.616614
-2.82008,52,1.652755
-2.768902,51,1.699253
-2.994013,51,1.734732
-2.737848,51,1.777175
-2.560386,51,1.808375
-2.665008,51,1.843661
-2.57886,51,1.879589
-2.531648,51,1.908283
-3.174616,51,1.941456
-2.700723,51,1.9738
-2.718911,51,2.003451
-2.810927,51,2.038306
-2.680662,51,2.072682
-2.816335,51,2.100956
-2.738616,52,2.136738
-2.688414,51,2.171595
-2.789257,51,2.199383
-2.760045,52,2.234123
-2.797951,52,2.264707
-2.979854,51,2.296713
-2.686497,51,2.328828
-3.142432,51,2.357055
-2.735663,51,2.38986
-2.781046,52,2.424676
-2.655213,51,2.45265
-2.76188,51,2.483407
-2.604686,51,2.513732
-2.806637,51,2.539466
-2.783184,51,2.577252
-2.573912,51,2.610222
-2.794605,51,2.642947
-2.808601,51,3.72126
-2.775999,51,3.750225
-2.872126,51,3.788019
-2.902589,51,3.824564
-2.674998,51,3.856466
-2.681557,52,3.894255
-2.728922,51,3.931886
-2.854215,51,3.964136
-2.802598,51,4.001984
-2.859697,52,4.040264
-2.626366,51,4.070748
-2.789224,51,4.107571
-2.711771,51,4.142949
-2.713144,52,4.174366
-2.768606,51,4.210377
-2.683938,51,4.247973
-2.67833,51,4.275748
-2.655192,51,4.309893
-2.558128,51,4.343359
-2.671361,51,4.372024
-2.72075,51,4.4056
-2.709817,52,4.436109
-2.660546,51,4.468392
-2.668807,51,4.502338
-2.702947,51,4.530399
-2.652925,51,4.564038
-2.755719,51,4.592111
-2.671933,51,4.626531
-2.789845,51,4.659184
-2.495229,51,4.695067
-2.712109,51,4.721166
-2.593577,51,4.755295
-2.517448,51,4.801252
-2.695549,51,4.827969
-2.668095,51,4.860364
-3.036662,51,4.886945
-2.683208,51,4.919348
-2.569293,51,4.946365
-2.809628,52,4.978987
-2.659733,51,5.010335
-2.635955,51,6.029536
-2.599015,51,6.05955
-2.840763,51,6.090285
-2.64037,52,6.150501
-2.736699,51,6.185954
-2.604243,51,6.223528
-2.795916,51,6.255978
-2.788905,51,6.292554
-2.498298,51,6.329904
-2.915174,51,6.363319
-2.659733,51,6.403845
-2.591449,51,6.448961
-2.628099,51,6.484915
-2.600349,51,6.518688
-2.773445,51,6.546862
-2.68948,51,6.581051
-2.655742,52,6.613383
-2.731093,51,6.64733
-2.693912,51,6.682179
-2.66481,51,6.711663
-2.885521,51,6.7393
-2.796677,51,6.771821
-2.723977,51,6.810596
-2.696681,51,6.840303
-2.650846,51,6.873639
-2.565851,51,6.902161
-2.812332,51,6.935708
-2.739186,52,6.969892
-2.797426,51,7.002635
-2.839226,52,7.037919
-2.777734,52,7.07286
-2.800032,51,7.100426
-2.739123,51,7.136365
-2.790433,52,7.163276
-2.872293,52,7.190454
-2.730808,52,7.220174
-2.77596,51,7.249251
-2.899929,52,7.28263
-3.030647,51,7.314786
-2.63916,51,7.341498
-3.010498,51,8.360228
-2.690806,51,8.388376
-2.730268,51,8.427886
-2.798517,51,8.463651
-2.630594,51,8.521136
-2.607224,51,8.564556
-2.63477,51,8.596871
-2.840766,51,8.652144
-2.817741,51,8.687008
-2.656596,51,8.724951
-2.651419,51,8.757898
-2.717185,52,8.803689
-2.997979,51,8.852044
-2.658442,51,8.898743
-2.714414,51,8.939564
-2.712282,51,8.974607
-2.731956,52,9.004866
-2.852067,51,9.038834
-2.717742,51,9.069193
-2.955064,52,9.101681
-2.698127,51,9.166286
-2.858842,51,9.225274
-2.715682,51,9.271736
-2.723353,51,9.320641
-2.599507,51,9.367521
-2.636888,51,9.400952
-2.738317,51,9.437367
-2.593003,51,9.471673
-2.711369,52,9.500419
-2.773334,51,9.531572
-2.662148,51,9.564929
-2.735313,51,9.591489
-2.710622,51,9.62457
-3.012546,51,9.651118
-2.912963,51,9.683251
-2.794076,52,9.716066
-2.677035,51,9.748171
-2.62383,51,9.774681
-2.669484,52,9.808367
-2.912947,51,9.834699
-2.686523,51,10.847338
-2.760597,52,10.878186
-2.645317,51,10.915134
-2.59849,51,10.952076
-2.819855,51,10.984705
-2.734084,51,11.019179
-2.773187,51,11.048576
-2.79926,51,11.087561
-2.596818,51,11.127894
-2.709284,51,11.157804
-2.753056,51,11.192955
-2.809739,51,11.223205
-2.61225,51,11.26057
-2.706469,51,11.294944
-2.696223,51,11.323476
-2.735512,51,11.360662
-2.605787,51,11.389634
-3.027039,51,11.423371
-2.470372,51,11.456388
-2.768071,52,11.488246
-2.906329,51,11.52235
-2.702381,52,11.551386
-2.969439,51,11.585676
-2.893397,51,11.622667
-2.649791,51,11.65466
-2.747554,52,11.688852
-2.727092,51,11.717008
-2.802215,52,11.745763
-2.797959,51,11.772288
-2.56731,51,11.804605
-2.717983,51,11.830828
-2.888864,51,11.863263
-2.649719,51,11.895373
-2.936777,51,11.92204
-2.803495,51,11.956151
-2.735847,52,11.982887
-2.936457,51,12.014613
-2.881514,51,12.046836
-2.726288,52,12.079362
-2.594953,51,12.105653
-2.641205,52,13.09288
-2.764449,51,13.129533
-2.803558,51,13.160329
-2.611911,51,13.197
-2.715883,51,13.228746
-2.630535,51,13.26277
-2.922972,51,13.293291
-2.717453,52,13.323107
-2.754327,51,13.35467
-2.82082,51,13.387139
-2.789864,51,13.419893
-2.63676,51,13.453725
-2.617603,52,13.486069
-2.633646,51,13.514559
-2.863748,51,13.546903
-2.69212,51,13.574911
-2.697255,52,13.608536
-2.666342,51,13.641867
-2.742572,51,13.674807
-2.644806,51,13.703183
-2.575278,51,13.734995
-2.643575,51,13.767119
-2.791733,51,13.794912
-2.800574,51,13.826858
-2.690975,51,13.858209
-2.662328,51,13.886664
-2.865872,51,13.920326
-2.731437,51,13.947184
-2.740141,52,13.979698
-2.690692,51,14.007277
-2.574978,51,14.038409
-2.79145,51,14.07179
-2.679479,51,14.103742
-2.818846,51,14.130856
-2.740341,51,14.177876
-2.612033,51,14.20841
-2.716657,51,14.242855
-2.671953,51,14.268839
-2.765519,51,14.301759
-2.817461,51,14.328385
-2.858873,52,15.345622
-2.740211,51,15.384682
-2.635082,51,15.4142
-2.651036,51,15.450791
-2.6688,51,15.486676
-2.762269,51,15.521045
-2.648197,51,15.554892
-2.612729,51,15.592037
-2.67037,51,15.626727
-2.640256,52,15.657975
-2.76599,51,15.692886
-2.746082,51,15.719927
-2.693246,51,15.75395
-2.800882,51,15.787576
-2.73298,51,15.815388
-2.65898,51,15.849461
-2.791867,51,15.877994
-2.818351,52,15.911109
-2.802456,51,15.942098
-2.985753,52,15.972264
-2.601164,51,16.006681
-2.82477,51,16.040903
-2.753694,52,16.06978
-2.751591,51,16.102804
-2.678313,52,16.132381
-2.702473,51,16.16685
-2.65584,51,16.200771
-2.912385,51,16.228511
-2.738463,51,16.262017
-2.54645,51,16.29699
-2.794036,51,16.32872
-2.75293,51,16.367501
-2.644218,51,16.394007
-2.795535,51,16.434381
-2.693196,51,16.461132
-2.587896,51,16.491449
-2.624538,51,16.523457
-2.757107,51,16.558091
-2.628365,51,16.586791
-2.66525,51,16.618587
-2.621984,51,17.62107
-2.612367,51,17.654433
-2.600089,51,17.686921
-2.62245,51,17.719993
-2.648964,51,17.755621
-2.757311,51,17.785468
-2.586217,51,17.822843
-2.749214,51,17.852299
-2.619029,51,17.887243
-2.67071,51,17.919395
-2.854254,51,17.946702
-2.514726,51,17.979776
-2.669688,52,18.007627
-2.891103,51,18.042306
-3.024535,51,18.069888
-2.868191,52,18.10366
-2.765357,51,18.132282
-2.755832,51,18.164798
-2.8948,51,18.195223
-2.704583,51,18.227153
-2.855627,51,18.261042
-2.672344,51,18.288681
-2.785695,51,18.321984
-2.71213,51,18.354608
-2.936594,51,18.383313
-2.651516,51,18.416714
-2.658302,52,18.446007
-2.676366,51,18.484374
-2.821136,52,18.512673
-2.556456,51,18.546069
-2.688988,51,18.578454
-2.553224,51,18.604804
-2.71775,51,18.636148
-2.641932,51,18.664871
-2.694609,51,18.692647
-2.730705,51,18.722905
-2.614413,52,18.748926
-2.691971,52,18.781464
-2.5748,51,18.806006
-2.736243,52,18.837332
-2.726959,51,19.820539
-2.817711,51,19.851725
-2.690268,51,19.889508
-2.544769,51,19.924751
-2.54246,51,19.954241
-2.59289,51,19.993839
-2.638838,51,20.026744
-2.691343,52,20.064421
-2.57445,51,20.109025
-2.696066,51,20.139546
-2.754666,51,20.167971
-2.846778,52,20.20461
-2.705293,52,20.232859
-2.622676,51,20.267973
-2.852663,51,20.297817
-2.676766,51,20.331823
-2.888571,51,20.362669
-2.687281,51,20.39336
-2.777836,51,20.427193
-2.639373,51,20.460627
-2.768915,51,20.488648
-2.894736,51,20.5217
-2.728211,51,20.548967
-2.78627,51,20.583303
-2.841202,51,20.615854
-2.683983,51,20.644333
-2.590959,51,20.678578
-2.640419,51,20.706031
-2.700825,51,20.745716
-2.806186,51,20.77426
-2.782061,51,20.813962
-2.752769,51,20.842009
-2.677221,51,20.874699
-2.707124,51,20.904521
-2.806218,51,20.933036
-2.803883,51,20.961862
-2.638771,51,20.99141
-2.716716,51,21.023111
-2.516288,51,21.047946
-2.711597,51,21.079658
-2.721061,51,22.061236
-2.894753,52,22.095166
-2.951114,51,22.132564
-2.605114,51,22.161227
-2.695587,51,22.189915
-2.612476,51,22.231591
-2.694308,51,22.284125
-2.625138,51,22.32297
-2.851437,51,22.358889
-2.754998,51,22.392228
-2.761958,51,22.427005
-2.664502,51,22.454421
-2.729345,51,22.488141
-2.608691,52,22.517399
-2.769207,52,22.550519
-2.726924,51,22.583376
-2.806925,51,22.616447
-2.688632,51,22.648296
-2.720533,51,22.682175
-2.559602,51,22.710941
-2.715283,51,22.739452
-2.734226,51,22.767244
-2.913636,51,22.800947
-2.645298,51,22.83065
-2.477673,51,22.862628
-2.580502,52,22.89173
-2.541126,51,22.9243
-2.48719,51,22.952113
-2.668534,51,22.986589
-2.653379,51,23.02574
-2.652378,51,23.05931
-2.951052,51,23.089741
-3.062014,51,23.120943
-2.648039,51,23.154129
-2.91465,52,23.180334
