#{"t_start": 1789365380.012384, "env_id": "None"}
r,l,t
-1.655806,51,1.053946
-2.102037,51,1.081463
-1.588746,50,1.105165
-1.380575,51,1.129686
-1.446683,50,1.154132
-1.535379,51,1.183828
-1.639773,51,1.212059
-1.788007,51,1.238528
-1.909816,51,1.264054
-2.163016,51,1.289372
-1.553287,51,1.316575
-1.446037,51,1.344771
-1.899344,51,1.370028
-1.54136,51,1.401133
-1.544663,50,1.430081
-2.160282,51,1.460723
-1.793411,51,1.488848
-1.738579,51,1.516472
-1.543115,51,1.539874
-1.846365,51,1.566493
-1.219287,51,1.593013
-1.759743,51,1.618291
-1.652041,51,1.645561
-1.973501,51,1.670635
-1.883093,51,1.697125
-1.602624,51,1.721928
-1.573462,51,1.753632
-1.780353,51,1.781239
-1.882398,50,1.80594
-1.533438,51,1.830118
-1.578119,50,1.867619
-2.039133,51,1.896256
-1.4114,51,1.922699
-1.878374,51,1.949991
-1.699026,51,1.981927
-1.47639,51,2.006923
-1.724065,51,2.032143
-1.90155,51,2.055055
-1.743378,51,2.079561
-1.818853,51,2.102347
-1.743924,51,2.477813
-1.299199,51,2.503678
-1.67675,51,2.529648
-1.225108,50,2.554068
-1.885723,51,2.578414
-1.444354,51,2.600788
-1.719468,50,2.625867
-1.85373,51,2.651342
-1.578656,51,2.676054
-1.626656,51,2.697095
-1.354971,51,2.718855
-1.373481,51,2.741023
-1.676541,51,2.76287
-1.601232,51,2.784877
-1.749585,51,2.806395
-2.0895,51,2.829232
-2.280646,51,2.851488
-1.74305,50,2.87688
-2.159416,51,2.901319
-1.521363,51,2.927035
-1.739078,50,2.951887
-2.136861,51,2.98111
-2.187588,51,3.009819
-1.76811,51,3.041678
-1.478308,50,3.07237
-1.838523,51,3.111528
-1.814317,51,3.15423
-2.081448,51,3.188536
-2.277383,50,3.221987
-1.324849,50,3.25163
-1.484942,50,3.282301
-2.239532,51,3.313009
-2.162262,51,3.344183
-1.906782,51,3.376649
-2.401725,51,3.406009
-1.668753,50,3.436195
-1.550272,51,3.465387
-2.096102,51,3.497956
-1.667089,51,3.533979
-1.358508,51,3.562981
-1.500413,51,3.909063
-1.505161,51,3.937642
-1.264669,51,3.963619
-1.836419,51,3.993319
-1.481682,51,4.016532
-2.301887,51,4.039996
-2.432125,51,4.065657
-1.902693,51,4.088749
-1.526156,50,4.113951
-1.373015,51,4.137608
-2.157793,51,4.166357
-1.753739,51,4.193574
-1.358785,51,4.218137
-2.004127,51,4.2443
-1.906028,51,4.266943
-1.525446,51,4.288929
-2.085697,51,4.311141
-1.934146,50,4.333051
-1.674676,51,4.354683
-2.026568,51,4.376832
-1.667068,50,4.398492
-1.421495,51,4.419905
-1.744979,51,4.441947
-1.543486,51,4.463518
-1.330039,51,4.485126
-1.619336,51,4.506932
-1.728073,51,4.529196
-1.629049,51,4.551582
-2.111818,51,4.572701
-1.459723,51,4.596011
-1.645626,51,4.617302
-1.248308,50,4.638802
-1.944471,51,4.662263
-1.90445,51,4.688827
-2.052384,50,4.712334
-1.842,51,4.733609
-1.74521,50,4.75533
-1.574832,51,4.77749
-1.507646,51,4.810284
-1.470769,51,4.854052
-1.81047,51,5.185986
-1.887708,51,5.230011
-1.919827,51,5.30313
-1.648319,51,5.390238
-1.520418,51,5.44443
-1.702685,51,5.491181
-1.928551,51,5.534313
-2.446285,51,5.567582
-1.584595,51,5.604764
-1.566453,51,5.643818
-1.668826,51,5.676226
-1.398616,51,5.746307
-1.883655,51,5.783504
-1.723936,51,5.818434
-1.760392,51,5.862488
-1.788165,51,5.895665
-1.416687,51,5.929139
-1.585402,51,5.967158
-1.38487,51,6.003308
-1.569425,51,6.038195
-1.951587,51,6.077675
-2.005637,51,6.111543
-1.26442,50,6.148708
-1.261662,50,6.179556
-1.541945,51,6.212258
-1.542465,51,6.245732
-1.527404,51,6.276202
-1.757381,51,6.302504
-2.321628,51,6.329759
-1.902709,51,6.352786
-1.585963,51,6.40353
-1.516563,51,6.458988
-1.959014,51,6.490852
-1.92182,51,6.520146
-1.529858,51,6.549246
-1.751816,51,6.585112
-1.67916,51,6.618067
-1.636243,50,6.645706
-1.694917,50,6.672595
-2.005221,51,6.702866
-1.410686,51,6.730841
-1.661266,50,6.990022
-2.405698,51,7.014122
-1.414206,51,7.036122
-1.252088,51,7.058421
-1.747827,51,7.080835
-2.04405,51,7.101684
-1.534005,51,7.124867
-2.297293,51,7.166061
-1.842998,51,7.194905
-1.174903,51,7.218072
-1.567461,51,7.24312
-2.27158,50,7.266109
-1.895047,51,7.288268
-1.58317,51,7.311863
-1.575519,51,7.33327
-1.708076,51,7.354707
-2.1551,51,7.37869
-1.488926,51,7.401144
-1.905149,51,7.423163
-2.326781,51,7.445585
-1.647331,51,7.468517
-1.789724,51,7.490004
-1.454433,51,7.513283
-2.238753,51,7.535559
-1.093013,50,7.558747
-2.059839,51,7.582302
-1.81977,51,7.605649
-1.796616,51,7.629608
-1.314264,50,7.651983
-1.462506,51,7.674682
-1.683691,50,7.69666
-1.885754,51,7.718462
-1.891828,51,7.740552
-1.815231,51,7.763433
-1.994735,51,7.785502
-1.559662,50,7.806364
-1.757454,51,7.82901
-2.01316,51,7.85066
-1.924601,51,7.872514
-1.326525,50,7.894582
-1.815762,50,8.128032
-1.416176,51,8.15525
-1.672212,51,8.185568
-1.807514,51,8.213981
-2.411199,51,8.239955
-1.766639,51,8.266436
-1.730721,51,8.290525
-1.587652,51,8.319121
-1.943572,51,8.351199
-1.579659,50,8.382524
-1.915406,51,8.41067
-1.828856,51,8.438371
-1.601528,51,8.466906
-1.897062,51,8.495416
-1.833384,50,8.519436
-1.452748,51,8.546252
-1.223274,50,8.571408
-1.423627,51,8.595949
-1.583276,50,8.619027
-1.336939,51,8.643089
-1.653659,51,8.668592
-1.28994,51,8.718191
-1.632247,50,8.748194
-1.825947,50,8.778357
-1.648742,50,8.8102
-1.707445,50,8.846288
-1.803795,51,8.876887
-1.539806,50,8.902549
-1.387318,51,8.92929
-1.791483,51,8.955645
-1.702715,51,8.983336
-1.868704,51,9.013312
-1.209675,51,9.043394
-1.737059,51,9.070662
-1.90843,51,9.099054
-1.976081,51,9.125571
-1.516391,51,9.152026
-1.686757,51,9.182364
-1.95689,51,9.206177
-1.663667,50,9.230598
-1.477265,50,9.508086
-1.945186,51,9.532833
-2.621051,51,9.555029
-1.734543,51,9.581841
-1.55897,51,9.605458
-1.660842,51,9.628131
-1.514596,51,9.653994
-1.697609,51,9.680149
-1.546533,51,9.705047
-1.368946,51,9.73343
-1.326702,50,9.7577
-1.559061,51,9.784762
-1.58963,50,9.806574
-1.557364,51,9.830452
-1.486861,51,9.852571
-1.799037,51,9.900001
-1.565652,50,9.936391
-1.272642,51,9.960494
-1.39169,51,9.984273
-1.188053,51,10.009994
-1.900262,51,10.036951
-1.318283,50,10.062818
-1.216947,51,10.08699
-1.229858,50,10.110484
-2.048969,51,10.131951
-1.546924,51,10.153818
-1.508844,51,10.174734
