#{"t_start": 1789363827.053369, "env_id": "None"}
r,l,t
-1.542169,51,1.257247
-1.998927,50,1.28348
-1.545421,52,1.30632
-1.768877,51,1.326904
-1.641983,51,1.348134
-1.712463,51,1.368069
-1.357552,51,1.388702
-1.728018,51,1.408837
-1.730118,51,1.430087
-2.623273,52,1.45294
-1.427355,50,1.473221
-1.575934,51,1.494188
-1.951794,52,1.515809
-1.386375,51,1.537156
-1.372926,50,1.560121
-1.788304,51,1.582417
-1.849635,52,1.603522
-1.939949,51,1.624589
-1.493276,51,1.645668
-1.849774,51,1.666649
-1.587139,52,1.689359
-1.546257,51,1.713357
-1.315949,51,1.736967
-1.585226,52,1.760399
-1.819226,51,1.782538
-1.37099,50,1.803534
-1.917721,51,1.823355
-1.709298,51,1.844472
-1.496065,51,1.865623
-2.276036,51,1.886386
-1.879514,52,1.909096
-1.849405,51,1.93113
-1.730028,51,1.952255
-1.954599,51,1.973413
-1.723386,50,1.992807
-2.129941,51,2.013903
-1.473658,51,2.03491
-1.611588,51,2.057043
-1.851727,50,2.078728
-1.530683,50,2.10037
-1.791875,51,2.34694
-1.525978,51,2.367069
-1.508421,51,2.388324
-1.692475,52,2.408697
-1.414322,51,2.429898
-2.134483,51,2.44965
-1.667117,51,2.470628
-1.711826,51,2.491254
-1.426575,52,2.511636
-1.813063,51,2.532618
-1.695274,51,2.552975
-1.832672,51,2.573335
-2.167826,51,2.594974
-1.705489,51,2.616378
-1.702629,51,2.636262
-1.847602,52,2.657819
-1.896931,51,2.678884
-1.248874,52,2.701482
-2.192277,51,2.723
-1.543197,51,2.744008
-2.114729,51,2.763836
-1.720024,51,2.784832
-1.413649,50,2.804172
-2.201909,51,2.825264
-1.642521,51,2.845972
-1.731716,51,2.866382
-1.638555,51,2.888268
-2.010775,52,2.910697
-1.421631,51,2.931056
-2.20139,51,2.952979
-1.495816,51,2.97423
-1.377466,51,2.995325
-2.279097,51,3.017226
-1.854428,52,3.039646
-1.937965,50,3.06126
-1.478772,51,3.085973
-1.939885,51,3.109203
-2.175605,51,3.13314
-2.288131,51,3.157137
-1.370038,52,3.179964
-2.579384,51,3.429555
-1.636873,52,3.453376
-1.812633,51,3.47585
-1.564664,51,3.498114
-1.858796,51,3.520471
-1.977502,51,3.542903
-1.656467,51,3.566119
-1.507653,52,3.589217
-2.361763,51,3.618674
-2.129423,51,3.642907
-1.366412,52,3.665891
-1.545404,51,3.688203
-1.879675,51,3.710409
-1.773937,50,3.732322
-1.459731,52,3.755018
-2.004714,51,3.77718
-1.610344,50,3.79912
-1.715858,51,3.821024
-1.800734,50,3.84255
-1.711389,51,3.864462
-1.407851,50,3.88603
-1.35259,50,3.907569
-2.20322,51,3.929579
-1.466973,51,3.951502
-1.939582,51,3.973478
-1.983041,52,3.997865
-2.331044,51,4.020296
-1.280337,50,4.042116
-1.943062,51,4.064201
-2.682203,51,4.08641
-1.862609,51,4.10854
-1.875175,51,4.136129
-1.272409,51,4.15849
-1.592867,51,4.18078
-1.548924,51,4.202927
-1.295983,50,4.22488
-1.727523,50,4.247729
-1.629698,51,4.270208
-2.03768,51,4.292609
-1.848271,51,4.314607
-1.767839,51,4.567898
-1.378566,51,4.590152
-1.68094,52,4.612796
-1.736063,50,4.634771
-2.069788,51,4.65689
-1.650225,51,4.679043
-1.767145,52,4.701592
-1.519372,51,4.723685
-2.035028,51,4.745936
-2.332974,51,4.768051
-2.034826,51,4.790123
-2.309822,51,4.811932
-1.737003,51,4.833741
-2.063811,51,4.855765
-1.487183,50,4.877578
-1.381151,51,4.899949
-1.837348,51,4.92232
-1.850589,50,4.944188
-1.565343,51,4.966513
-2.007976,51,4.988837
-1.601183,51,5.011037
-1.648592,51,5.033205
-1.681877,51,5.055434
-2.22532,51,5.07748
-1.731759,51,5.09983
-1.339737,50,5.121469
-1.345245,50,5.143008
-1.657657,50,5.164509
-2.654561,51,5.186376
-1.823408,52,5.208816
-1.398243,50,5.230195
-1.677234,51,5.252507
-1.819823,52,5.275167
-1.338408,51,5.298518
-2.050947,51,5.32099
-1.487107,51,5.343313
-1.614829,52,5.366326
-1.610732,51,5.389618
-1.462577,52,5.414782
-1.70132,51,5.437213
-1.31949,51,5.691489
-1.747723,51,5.713875
-1.299351,52,5.736669
-1.661005,52,5.760946
-1.518413,51,5.783026
-2.274224,51,5.806477
-1.787848,51,5.828682
-1.617469,52,5.851594
-1.632888,51,5.874599
-1.522524,51,5.897754
-1.921495,51,5.920485
-1.688602,51,5.944136
-2.316484,51,5.966229
-1.481545,52,5.993761
-1.899972,51,6.017231
-2.064454,51,6.042014
-1.765702,51,6.064449
-1.500222,51,6.087111
-1.67345,50,6.11024
-1.445883,52,6.134378
-1.979394,51,6.156497
-1.532685,51,6.180185
-1.860647,51,6.202605
-1.519387,50,6.225662
-1.542661,52,6.248446
-1.661816,52,6.272743
-1.514845,51,6.295502
-1.420238,51,6.31886
-1.86211,52,6.343786
-2.410383,51,6.36598
-1.429199,51,6.389358
-1.94834,50,6.411593
-1.35669,51,6.435209
-1.511469,51,6.457224
-1.379243,51,6.480906
