#{"t_start": 1789351276.811029, "env_id": "None"}
r,l,t
-2.813386,52,1.346574
-2.805932,51,1.383914
-2.737135,51,1.423944
-2.952381,51,1.460655
-2.644688,51,1.491376
-2.674811,52,1.533498
-2.856534,51,1.569487
-2.709387,51,1.606867
-2.681097,51,1.645569
-2.677607,51,1.676064
-2.880477,51,1.713235
-2.654603,51,1.7571
-2.667364,51,1.787212
-2.648267,52,1.819396
-2.787873,51,1.861479
-2.680778,51,1.898991
-2.672783,51,1.927715
-2.815186,51,1.965777
-2.783729,51,1.998345
-2.747103,51,2.031459
-2.661989,51,2.090567
-2.716072,51,2.119949
-2.671001,51,2.149619
-2.729204,51,2.178656
-2.75231,51,2.214446
-2.8994,51,2.243943
-2.68405,51,2.299484
-2.746262,51,2.328254
-2.690772,51,2.355102
-2.713357,51,2.383244
-2.698961,52,2.442377
-2.645172,51,2.478214
-2.795276,51,2.511914
-2.537269,51,2.55045
-2.795658,51,2.605041
-2.629305,52,2.635278
-2.687859,51,2.6645
-2.827609,52,2.693244
-2.767961,51,2.721139
-2.814201,51,2.750149
-2.689236,51,3.836343
-2.693704,51,3.873953
-2.641699,51,3.90637
-2.73034,51,3.93945
-2.76095,51,3.975848
-2.758863,52,4.014073
-2.705844,51,4.058676
-2.828358,51,4.115511
-2.773456,51,4.148165
-2.62773,51,4.183167
-2.672284,51,4.214659
-2.844755,51,4.253209
-2.904039,51,4.297138
-2.706674,51,4.331409
-2.714007,51,4.369044
-2.937629,51,4.399895
-2.732056,52,4.438082
-2.733102,52,4.467471
-2.767616,51,4.504637
-2.728627,51,4.561438
-2.801666,51,4.595166
-2.934041,51,4.631738
-2.74504,51,4.66806
-2.725359,52,4.698898
-2.543516,51,4.734078
-2.656293,51,4.765075
-2.794716,51,4.801461
-2.655366,51,4.855863
-2.6678,51,4.943765
-2.763305,51,5.031804
-2.53785,51,5.069589
-2.604524,51,5.100033
-2.66401,51,5.128894
-2.67976,51,5.155663
-2.697301,51,5.183112
-2.758972,51,5.212779
-2.795409,51,5.242348
-2.708698,51,5.284287
-2.688606,51,5.312359
-2.707474,51,5.34529
-2.597509,51,6.419536
-2.551012,51,6.449407
-2.860644,52,6.478851
-2.751309,52,6.517503
-2.840092,51,6.55793
-3.014962,51,6.602147
-2.672644,51,6.637371
-2.616293,51,6.685129
-2.665248,51,6.71737
-2.631625,51,6.758426
-2.662372,51,6.79505
-2.797577,52,6.852534
-2.698842,51,6.893539
-2.71607,52,6.922304
-2.802501,51,6.963228
-3.148843,51,7.001569
-2.755959,51,7.036667
-2.761248,51,7.073817
-2.791081,51,7.120557
-2.832073,51,7.150339
-2.755845,51,7.195777
-2.673501,51,7.229313
-2.60845,51,7.272965
-2.772398,52,7.318173
-2.614152,51,7.365032
-2.833777,51,7.398458
-2.813053,51,7.43505
-2.87642,51,7.46336
-3.131781,51,7.504065
-2.571156,52,7.531162
-2.877683,51,7.565087
-2.605206,51,7.598485
-2.727199,51,7.633709
-2.761472,51,7.667297
-2.704011,51,7.695307
-2.772455,52,7.729237
-2.707917,51,7.755545
-3.091221,51,7.789241
-2.735365,51,7.821912
-2.565134,51,7.856002
-2.671117,51,8.912984
-2.778668,52,8.965315
-2.769787,51,9.003222
-2.733391,51,9.050901
-2.563742,51,9.096293
-2.742025,51,9.136124
-2.719851,51,9.169997
-2.721494,51,9.208603
-2.697817,51,9.241613
-2.822236,51,9.275712
-2.704274,51,9.322984
-2.655007,51,9.353503
-2.754458,51,9.400719
-2.76787,52,9.432405
-2.722871,52,9.472304
-2.833217,52,9.51145
-2.739497,51,9.540883
-2.590972,51,9.576442
-2.806388,51,9.607766
-2.765157,51,9.64801
-2.75562,51,9.676684
-2.682312,51,9.721474
-2.767707,51,9.780989
-2.664866,52,9.809693
-2.821056,51,9.840379
-2.615074,51,9.876332
-2.618588,51,9.90422
-3.013155,52,9.946501
-2.699451,51,9.984106
-2.531969,51,10.013071
-2.731176,51,10.046243
-2.570913,51,10.080112
-2.812877,51,10.10687
-2.669199,51,10.141827
-2.717962,51,10.168953
-2.667517,51,10.202114
-2.721173,52,10.229471
-2.774446,51,10.262353
-2.752492,51,10.288644
-2.657945,51,10.322138
-2.729448,51,11.330335
-2.82874,51,11.367598
-2.742012,51,11.398709
-2.657006,51,11.437846
-2.751734,51,11.479015
-2.64289,51,11.519441
-2.829847,51,11.553718
-2.589768,51,11.584291
-2.829924,51,11.617405
-2.767946,51,11.665575
-2.704937,51,11.726547
-2.689971,51,11.755928
-2.601969,51,11.801007
-2.758133,52,11.831432
-2.737101,51,11.873613
-2.573294,52,11.902472
-2.570795,51,11.930682
-2.812084,51,11.957946
-2.815401,51,11.986675
-2.674298,51,12.015727
-2.703025,52,12.04695
-2.78503,51,12.08285
-2.662805,51,12.111579
-2.803348,51,12.145045
-2.9348,51,12.177037
-2.632402,51,12.218542
-2.705701,51,12.25208
-2.812907,52,12.284157
-2.712229,51,12.310871
-2.744938,52,12.345379
-2.784755,51,12.388782
-2.651592,51,12.41669
-2.737303,51,12.449844
-2.783659,51,12.476406
-2.63763,51,12.51255
-2.624509,51,12.549253
-2.819615,51,12.592623
-2.726505,51,12.630539
-2.754983,51,12.670273
-2.765914,52,12.696831
-2.651981,51,13.691901
-2.59336,51,13.744301
-2.874141,51,13.793577
-3.011787,51,13.837423
-2.823422,51,13.870552
-2.76599,52,13.913863
-2.765579,52,13.949991
-2.734997,51,13.982988
-2.703749,51,14.017943
-2.751533,51,14.051444
-2.598578,51,14.089924
-2.783804,51,14.121238
-2.755985,51,14.158084
-2.748274,51,14.197715
-2.666878,51,14.228553
-2.867666,51,14.285544
-2.806134,52,14.332285
-2.726655,52,14.361445
-2.790496,51,14.396064
-2.765696,51,14.424682
-2.750315,52,14.478062
-2.722575,52,14.507304
-2.591455,51,14.540924
-2.673828,51,14.576355
-2.54943,51,14.616161
-2.757703,51,14.651055
-2.683183,51,14.684253
-2.931434,51,14.716441
-2.58455,51,14.743049
-2.78727,51,14.775686
-2.642661,51,14.802284
-2.875523,52,14.836407
-2.621216,51,14.862947
-2.728289,51,14.896154
-2.668806,51,14.929851
-2.75908,52,14.963337
-2.690878,52,14.990221
-2.606343,51,15.022992
-2.568743,51,15.053854
-2.586585,52,15.087405
-2.592243,51,16.096746
-2.757862,52,16.134122
-2.686002,51,16.163436
-2.796354,51,16.19913
-2.706652,51,16.232939
-2.96716,51,16.265556
-2.625096,51,16.299864
-2.606586,51,16.3307
-2.66341,51,16.367375
-2.73307,52,16.413508
-2.705029,51,16.444451
-2.685778,51,16.48082
-2.702092,51,16.518869
-2.859274,51,16.55518
-2.709681,51,16.617053
-2.815383,52,16.650574
-2.823505,51,16.697034
-2.844266,51,16.737028
-2.5141,51,16.76643
-2.756256,51,16.794652
-2.831824,51,16.831317
-2.819381,51,16.858927
-2.512915,51,16.925259
-2.70652,51,16.953508
