#{"t_start": 1789360542.891872, "env_id": "None"}
r,l,t
-2.643237,52,1.014063
-2.672097,51,1.045676
-2.717441,51,1.075737
-2.78362,51,1.106106
-2.687133,51,1.135194
-2.660779,51,1.167178
-2.713498,51,1.196758
-2.937456,51,1.226169
-2.767077,51,1.255665
-2.604944,51,1.285066
-2.981045,51,1.316527
-2.564005,51,1.345937
-2.817552,51,1.379567
-2.761963,51,1.412361
-2.690222,51,1.444217
-2.856351,51,1.476313
-2.686743,51,1.505783
-2.724274,51,1.535149
-2.781629,51,1.565044
-2.684521,51,1.597009
-2.810273,51,1.629124
-2.669656,51,1.66218
-2.73946,51,1.692705
-2.663055,51,1.723293
-2.662938,52,1.753312
-2.740293,52,1.785352
-2.715118,51,1.81458
-2.798505,51,1.843854
-2.759392,51,1.873014
-2.817006,51,1.903276
-2.687425,51,1.933025
-2.679483,51,1.96495
-2.801007,51,1.994472
-2.684061,51,2.024081
-2.655724,51,2.05375
-2.763631,51,2.083333
-2.676089,51,2.114157
-2.669135,51,2.143705
-2.697071,51,2.173046
-2.721127,51,2.202427
-2.493723,51,2.232347
-2.802471,51,2.264169
-2.773024,51,2.293551
-2.676904,51,2.323867
-2.749597,52,2.352935
-2.5633,52,2.38331
-2.700625,51,2.415401
-2.751993,51,2.444784
-2.708674,51,2.47421
-2.696575,51,2.503686
-2.614673,51,2.533116
-2.740944,51,2.565879
-2.530147,51,2.596434
-2.968689,51,2.62587
-2.604974,51,2.656586
-2.611895,51,2.686861
-2.629268,51,2.716966
-2.702012,52,2.751302
-2.626128,51,2.786845
-2.638218,51,2.819269
-2.721878,51,2.85176
-2.641132,52,2.888316
-2.634363,51,2.92137
-2.678439,51,2.95508
-2.808671,51,2.988722
-2.641901,51,3.021069
-2.955343,51,3.053407
-2.592621,51,3.088496
-2.750749,51,3.119864
-2.665881,51,3.151103
-2.683343,51,3.183069
-2.681467,52,3.215321
-2.704831,51,3.248899
-2.703012,51,3.279847
-2.688791,51,3.310737
-2.515798,51,3.341224
-2.584932,51,3.372911
-2.74309,51,3.406446
-2.628356,51,3.437233
-2.564774,51,3.468043
-2.716477,51,3.498579
-2.74244,51,3.529169
-2.95624,51,3.562128
-2.851321,51,3.593734
-2.771877,51,3.623513
-2.702616,51,3.653652
-2.679325,51,3.68632
-2.590714,51,3.714981
-2.593976,51,3.747123
-2.557414,51,3.77705
-2.856401,52,3.808321
-2.56437,51,3.837988
-2.701709,51,3.86764
-2.831558,51,3.899652
-2.933999,51,3.928939
-2.55835,51,3.957649
-2.77148,51,3.987073
-2.517178,51,4.016538
-2.817685,51,4.047362
-2.733043,52,4.077707
-3.000522,51,4.10652
-2.713831,51,4.135857
-2.536388,51,4.164918
-3.165965,51,4.196211
-2.696302,51,4.225344
-2.73004,51,4.254545
-2.704253,51,4.284195
-2.663341,51,4.31617
-2.843614,51,4.349118
-2.680921,51,4.37916
-2.691256,51,4.408925
-2.849515,51,4.439396
-2.636236,51,4.470342
-2.676474,51,4.500057
-2.648761,52,4.534042
-2.743515,51,4.564563
-2.703259,51,4.593791
-2.702326,51,4.623104
-2.741516,51,4.652146
-2.805059,51,4.683492
-2.67599,51,4.712603
-2.792566,51,4.741611
-2.685059,51,4.770656
-2.668936,52,4.800006
-2.806551,51,4.831176
-2.662302,51,4.860613
-2.693681,51,4.889737
-2.931679,51,4.918507
-2.666077,52,4.948426
-2.779995,51,4.980522
-2.56172,51,5.00971
-2.605587,51,5.038796
-2.849069,51,5.0691
-2.563752,51,5.098401
-2.726573,51,5.130203
-2.714624,51,5.159604
-2.49352,51,5.189937
-2.970329,51,5.219489
-2.63204,51,5.250097
-2.709348,51,5.282205
-2.678235,51,5.313219
-2.538889,51,5.344022
-2.771604,52,5.374022
-2.621522,51,5.407081
-2.742398,51,5.443087
-2.582005,51,5.474992
-2.419488,51,5.505903
-2.910144,51,5.536305
-2.632512,51,5.566308
-2.668554,51,5.595818
-2.637305,51,5.628036
-2.691607,51,5.657963
-2.706558,52,5.690788
-2.839874,51,5.719473
-2.572489,51,5.748952
-2.618106,52,5.780284
-2.574398,51,5.809684
-2.68423,51,5.83877
-2.714331,51,5.868028
-2.82339,51,5.901371
-2.639413,51,5.937161
-2.9,51,5.97083
-2.760981,51,6.002586
-2.748284,51,6.03557
-2.595745,51,6.067746
-2.806616,51,6.098619
-2.782738,51,6.128037
-2.952971,52,6.157347
-2.923032,51,6.18647
-2.864867,51,6.215574
-2.625716,51,6.247093
-2.734948,51,6.27707
-2.643335,51,6.306537
-2.671921,51,6.335775
-2.745111,51,6.364958
-2.747932,52,6.396834
-2.83828,51,6.426098
-2.754764,52,6.456508
-2.70839,52,6.485766
-2.758987,52,6.517588
-2.635691,51,6.546991
-2.7749,51,6.576271
-2.745918,51,6.605548
-2.823974,51,6.633853
-2.639125,52,6.66581
-2.664322,51,6.695136
-2.634465,51,6.723756
-2.694362,51,6.752879
-2.724285,51,6.781822
-2.670649,51,6.810751
-2.749308,51,6.841968
-2.640535,51,6.87077
-2.59079,51,6.898942
-2.692556,51,6.927655
-2.679495,51,6.95611
-2.857872,51,6.988063
-2.761445,51,7.017234
-2.549617,51,7.046926
-2.502704,51,7.076532
-2.743844,51,7.105579
-2.733675,52,7.139155
-2.702904,51,7.168844
-2.734303,51,7.197498
-3.051939,51,7.227123
-2.802157,52,7.257516
-2.786777,51,7.288374
-2.731569,51,7.317861
-2.704068,51,7.34803
-2.763338,51,7.378692
-2.780143,51,7.408105
-2.893024,52,7.439735
-2.750006,52,7.467875
-2.547892,51,7.494788
-2.710018,51,7.519873
-2.588243,51,7.544966
-2.550582,51,7.571985
-2.785573,52,7.597416
-2.617593,51,7.622457
-2.833123,51,7.647765
-2.771812,51,7.672835
-2.871728,51,7.700082
-2.975388,51,7.725239
-2.624822,51,7.74989
-2.782489,51,7.773552
-2.651331,51,7.79798
-2.584376,51,7.823293
-2.644477,51,7.84864
-2.713293,52,7.875174
-2.797555,52,7.902134
-2.569017,52,7.929892
-2.575012,51,7.961642
-2.741763,52,7.990367
-2.649012,51,8.018358
-2.765807,51,8.046394
-2.637896,51,8.074343
-2.615723,51,8.10505
-2.764361,51,8.136971
-2.57999,51,8.17038
-2.822236,51,8.216146
-2.735376,51,8.25112
-2.643565,51,8.288966
-2.952662,52,8.322042
-2.881888,51,8.353312
-2.601682,51,8.384918
-2.765034,52,8.417466
-2.854767,51,8.450953
-2.719002,51,8.479668
-2.739118,52,8.510243
-2.875617,51,8.539484
-2.66543,51,8.56771
-2.767514,51,8.599679
-2.694616,51,8.629601
-3.225759,52,8.659996
-2.783065,51,8.689058
-2.669008,52,8.721957
-2.792968,51,8.752879
-2.694721,51,8.782872
-3.01642,51,8.812319
-2.75798,51,8.84059
-2.743521,51,8.869592
-2.655181,51,8.902805
-2.761982,52,8.937758
-2.839067,51,8.966702
-2.780928,51,8.996763
-2.659909,51,9.025666
-2.672332,51,9.057369
-2.685245,51,9.08698
-2.862284,51,9.117589
-2.761384,51,9.148317
-2.599529,51,9.17882
-2.712104,51,9.216038
-2.660466,51,9.248219
-2.61432,51,9.279533
-2.717945,51,9.310074
-2.715953,52,9.340202
-2.681823,51,9.37216
-2.746518,51,9.401724
-2.518245,51,9.435359
-2.638368,51,9.479003
-2.907018,52,9.512917
-2.667093,51,9.559663
-2.669282,51,9.593761
-2.672423,51,9.629139
-2.676002,51,9.670819
-2.782773,51,9.704676
-2.553523,51,9.741353
-2.865677,51,9.774721
-2.701052,51,9.806597
-2.760981,51,9.839004
-2.659794,51,9.874348
-2.644031,51,9.910142
-2.66391,51,9.948457
-2.781653,52,9.984163
-2.729249,51,10.016757
-2.667583,51,10.047838
-2.740475,51,10.080877
-2.798632,51,10.116319
-2.551295,51,10.150884
-2.757149,51,10.183847
-2.75464,51,10.221299
-2.684086,51,10.255311
-2.709105,51,10.292021
-2.728787,51,10.325292
-2.67727,52,10.360196
-2.633308,51,10.402512
-2.858489,51,10.445163
-2.875588,51,10.485425
-2.613574,51,10.5221
-2.489809,51,10.558661
-2.696553,51,10.594838
-2.716642,51,10.62897
-2.736241,51,10.663816
-2.574049,51,10.697801
-2.772122,51,10.732006
-2.777583,51,10.763603
-2.862412,52,10.796363
-2.834203,51,10.829783
-2.676456,52,10.862911
-2.680367,51,10.894648
-2.896339,52,10.92658
-2.739919,51,10.961084
-2.614615,51,10.998838
-2.56396,51,11.034296
-2.746137,51,11.071862
-2.647877,51,11.104731
-2.722855,51,11.138274
-2.787873,51,11.174855
-2.836877,51,11.209282
-2.628336,51,11.244493
-3.045078,51,11.283074
-2.689251,51,11.323131
-2.65141,51,11.361114
-2.883427,51,11.400106
-2.789665,51,11.434434
-2.826702,51,11.46777
-2.80531,51,11.500949
-2.597626,51,11.532448
-2.529451,51,11.567315
-2.702601,51,11.609182
-2.749504,51,11.643107
-2.777147,52,11.676315
-2.710304,51,11.709484
-2.806221,51,11.745227
-2.645774,52,11.784666
-2.777846,51,11.821188
-2.632918,51,11.855316
-2.749008,51,11.891455
-2.67996,51,11.926826
-2.65004,52,11.962071
-2.766028,51,11.995424
-2.556838,51,12.028518
-2.78878,51,12.060253
-2.878944,51,12.094962
-2.650078,52,12.127179
-2.751337,52,12.159191
-2.784993,51,12.190949
-2.654548,51,12.222138
-2.619792,52,12.255136
-2.743544,51,12.285538
-2.639191,51,12.316578
-2.843565,52,12.3516
-2.676716,51,12.387099
-2.746831,51,12.41763
-2.716802,51,12.447886
-2.648105,51,12.478455
-2.660018,51,12.508791
-2.721364,52,12.54172
-2.81583,52,12.573446
-2.704067,51,12.605412
-2.73465,51,12.636947
-2.704001,51,12.668221
-2.702136,51,12.701929
-2.857333,51,12.732053
-2.677049,51,12.763637
-2.744893,51,12.794315
-2.673161,51,12.824258
-2.75043,51,12.855045
-2.736667,52,12.887648
-2.740824,51,12.918831
-2.772706,51,12.948825
-2.740905,51,12.97833
-2.669522,51,13.008389
-2.562828,51,13.041018
-2.759253,51,13.071545
-2.613807,51,13.102254
-2.598169,51,13.1332
-2.757724,52,13.163938
-2.737187,51,13.196709
-2.746825,51,13.226678
-2.741068,52,13.25696
-2.66157,51,13.287269
-2.841521,52,13.321505
-2.661382,51,13.351972
-2.662872,51,13.38211
-2.630729,51,13.412181
-2.603306,51,13.442188
-2.799239,51,13.472492
-2.87167,52,13.505794
-2.630355,51,13.53652
-2.505134,51,13.568268
-2.611969,51,13.598454
-2.577468,51,13.628553
-2.929727,51,13.660727
-2.47662,51,13.690827
-2.676098,52,13.722279
-2.814253,51,13.752096
-2.701839,51,13.782718
-2.82172,52,13.815694
-2.588649,51,13.846919
-2.660971,51,13.878324
-2.688783,51,13.909652
-2.607813,51,13.941418
-2.554515,51,13.974788
-2.811328,51,14.00821
-2.603633,51,14.042775
-2.689565,51,14.076253
-2.598735,51,14.108109
-2.612242,51,14.141975
-2.650539,51,14.173933
-2.643218,51,14.205675
-2.639782,51,14.239399
-2.577779,51,14.27132
-2.634955,52,14.307572
-2.65933,51,14.341062
-2.61939,51,14.373236
-2.698941,52,14.405581
-2.776068,51,14.43997
-2.887047,51,14.480935
-2.771683,52,14.522531
-2.715425,51,14.559678
-2.812199,51,14.591807
-2.757838,51,14.623322
-2.811684,51,14.657865
-2.717907,51,14.690863
-2.577209,51,14.722622
-2.626408,51,14.754017
-2.626476,51,14.785382
-2.696328,51,14.819282
-2.664895,52,14.851197
-2.864632,52,14.882995
-2.643671,51,14.914361
-2.799461,51,14.944551
-2.949275,51,14.977653
-2.67499,51,15.007428
-2.689581,51,15.04014
-2.681141,51,15.072625
-2.705411,51,15.102575
-2.697238,51,15.135064
-2.647136,51,15.165388
-2.717307,51,15.195586
-2.946047,51,15.225787
-2.68683,51,15.25582
-2.736409,51,15.285635
-2.752641,52,15.318241
-2.775856,51,15.348746
-2.745449,51,15.382392
-2.727693,52,15.413968
-2.729569,51,15.446567
-2.99308,51,15.476718
-2.80567,51,15.506925
-2.694653,51,15.537299
-2.676469,51,15.567591
-2.662262,51,15.597801
-2.714459,51,15.630927
-2.730824,52,15.66294
-2.584368,51,15.69331
-2.788643,51,15.72458
-2.698991,51,15.754609
-2.583182,51,15.788535
-2.714539,51,15.819082
-2.815808,51,15.84912
-2.498078,51,15.879254
-2.726227,51,15.909352
-2.698178,51,15.942079
-2.734915,51,15.975508
-2.737871,52,16.006985
-2.677937,51,16.03744
-2.654522,51,16.067914
-2.657966,51,16.100779
-2.733512,51,16.130791
-2.76552,52,16.161123
-2.736629,51,16.191058
-2.895641,51,16.221505
-2.854889,52,16.254717
-2.811102,51,16.284931
-2.550532,51,16.315717
-2.846603,51,16.345557
-2.666143,51,16.375331
-2.650985,51,16.408223
-2.603576,51,16.438416
-2.612467,51,16.468552
-2.592522,51,16.498473
-2.6877,51,16.528485
-2.815129,51,16.562085
-2.77255,51,16.593298
-2.73101,52,16.623967
-2.714826,51,16.656191
-2.837911,52,16.687582
-2.777665,51,16.721912
-2.737001,51,16.753306
-2.731894,51,16.785719
-2.761852,51,16.820734
-2.741869,51,16.855113
-2.796033,52,16.88972
-2.762732,51,16.920037
-2.831673,51,16.95342
-2.776044,51,16.987376
-2.75348,51,17.021067
-2.789926,52,17.056329
-2.769135,51,17.086916
-2.907209,51,17.116244
-2.746471,51,17.147524
-2.833115,51,17.177364
-2.713549,51,17.209865
-2.720597,51,17.240106
-2.723508,51,17.270146
-2.614159,52,17.300455
-2.685116,51,17.332586
-2.641588,51,17.368137
-2.721601,51,17.398961
-2.682223,51,17.429163
-2.938236,51,17.459636
-2.721122,51,17.490496
-2.617885,51,17.520702
-2.72,51,17.552995
-2.578705,51,17.582856
-2.763828,51,17.612987
-2.645808,51,17.643294
-2.754764,51,17.673457
-2.762297,51,17.705864
-2.719796,51,17.735663
-2.805321,51,17.76576
-2.758904,51,17.795884
-2.608911,51,17.826874
-2.744977,51,17.859916
-2.743854,51,17.889883
-3.013162,51,17.919664
-2.581967,51,17.949614
-2.561539,51,17.979561
-2.816865,51,18.009636
-2.884698,51,18.042312
-2.565069,51,18.072504
-2.655769,51,18.103485
-2.695791,51,18.133433
-2.697136,51,18.163487
-2.69183,51,18.196427
-2.632684,51,18.226694
-2.70105,51,18.256907
-2.670556,51,18.286868
-2.741652,51,18.317012
-2.646452,51,18.349484
-3.119504,51,18.379829
-2.679073,51,18.409511
-2.633747,51,18.440433
-2.797168,52,18.471099
-2.513081,51,18.503637
-2.610538,51,18.534779
-2.74527,52,18.565946
-2.768651,51,18.596413
-2.92207,51,18.626606
-2.8758,51,18.658904
-2.657382,51,18.688948
-2.686916,51,18.71907
-2.543103,51,18.748994
-2.570929,51,18.778962
-2.662322,51,18.808968
-2.703492,51,18.841708
-2.819209,51,18.871882
-2.776965,51,18.901199
-3.01281,51,18.931428
-2.51743,51,18.961565
-2.747238,51,18.993927
-2.886559,52,19.024225
-2.81076,51,19.054167
-2.87317,51,19.083658
-2.949197,51,19.113323
-2.709234,51,19.145234
-2.768506,51,19.176081
-2.677082,51,19.206441
-2.622045,51,19.236564
-2.822593,51,19.265817
-2.805356,52,19.298816
-2.949766,52,19.329347
-2.72492,51,19.359568
-2.813176,52,19.390271
-2.717953,51,19.42003
-2.596302,51,19.453178
-2.808581,51,19.482243
-2.79833,51,19.51319
-2.65447,51,19.543072
-2.702091,51,19.573407
-2.639559,51,19.60571
-2.813267,51,19.635952
-2.829647,51,19.66515
-2.694928,51,19.695414
-2.686528,51,19.725217
-2.563284,51,19.757501
-2.745269,51,19.787779
-2.80642,51,19.817985
-2.792907,51,19.848078
-2.820852,51,19.878328
-2.868219,51,19.909097
-2.77117,51,19.941472
-2.655994,51,19.972859
-2.671167,51,20.003405
-2.677267,51,20.034574
-2.563309,52,20.070022
-2.637514,51,20.119258
-2.760757,51,20.164255
-2.571616,51,20.199903
-2.809073,51,20.23345
-2.710009,52,20.265815
-2.616547,51,20.300302
-2.621024,51,20.33186
-2.789492,51,20.363292
-2.832771,52,20.396013
-3.024103,51,20.4279
-2.666494,51,20.462629
-2.842757,51,20.494679
-2.661507,51,20.526245
-2.886809,51,20.557929
-2.832765,51,20.589237
-2.765227,51,20.623087
-2.830301,52,20.654887
-2.812603,51,20.686312
-2.806572,52,20.718316
-2.778862,51,20.750139
-2.873032,51,20.784425
-2.780782,51,20.815764
-2.922409,52,20.847437
-2.75777,52,20.87912
-2.671374,51,20.912917
-2.68007,51,20.944286
-2.764021,51,20.975539
-2.79969,51,21.006816
-2.91386,52,21.038822
-2.80836,51,21.071628
-2.72326,51,21.101855
-2.793981,52,21.132281
-2.585998,51,21.16212
-2.557467,51,21.192331
-2.7418,51,21.224522
-2.823697,51,21.25495
-2.572321,51,21.285388
-2.676147,51,21.31531
-2.735797,51,21.345047
-2.7049,51,21.375
-2.672085,51,21.407421
-2.858522,52,21.437355
-2.727034,51,21.467219
-2.65781,51,21.497313
-2.779225,51,21.527392
-2.600388,52,21.560415
-2.70119,51,21.590331
-2.783354,52,21.620538
-2.591313,51,21.650171
-2.599736,51,21.682381
-2.678702,51,21.712149
-2.610868,51,21.742034
-2.714764,52,21.772188
-2.751345,51,21.801908
-2.568005,51,21.833892
-2.639429,52,21.864329
-2.792053,51,21.894032
-2.689804,51,21.923831
-2.735718,52,21.954012
-2.742386,51,21.986584
-2.815057,51,22.021517
-2.657951,51,22.058242
-2.64039,52,22.091892
-2.721042,51,22.122155
-2.660735,51,22.154463
-2.612604,51,22.187486
-3.090698,51,22.220889
-2.735644,52,22.251606
-2.666613,51,22.28219
-2.464971,51,22.314815
-3.077389,51,22.344847
-2.76742,51,22.376137
-2.832719,51,22.406553
-2.878409,51,22.437838
