#{"t_start": 1787845200.726354, "env_id": "None"}
r,l,t
-7.001711,52,0.852469
-7.216687,51,0.893728
-6.493511,52,0.943488
-6.850149,51,0.985863
-6.91341,51,1.024964
-6.733861,51,1.063694
-6.784825,51,1.102397
-6.760011,51,1.14105
-6.820049,51,1.17971
-6.941714,52,1.219081
-7.191007,51,1.258783
-6.7,51,1.297434
-6.72,51,1.335399
-7.111681,51,1.374295
-6.71,51,1.412684
-6.514538,51,1.450721
-6.76,51,1.489243
-6.708372,51,1.527466
-6.713147,51,1.565214
-6.5,51,1.602986
-6.580216,52,1.642111
-6.440005,51,1.680005
-6.85,52,1.718312
-6.781527,51,1.756466
-6.86,51,1.794237
-6.989621,51,1.831598
-6.31,51,1.869285
-6.812437,51,1.907487
-7.21,51,1.946607
-6.90654,51,1.986766
-6.847108,51,2.025985
-7.000396,51,2.063911
-7.200209,51,2.101812
-6.91,51,2.13997
-6.895031,51,2.177724
-6.89601,51,2.215796
-6.691004,51,2.253689
-6.980947,51,2.291456
-7.304232,52,2.330081
-6.896756,51,2.367835
-6.71,51,2.681069
-7.17,51,2.719323
-6.789322,51,2.757379
-6.170732,51,2.795287
-6.849081,51,2.832914
-6.481488,51,2.870455
-6.780073,51,2.907984
-6.916455,51,2.945597
-7.236566,51,2.983303
-6.750174,52,3.021866
-6.76,51,3.059362
-7.41,51,3.097046
-6.730647,51,3.134483
-6.701457,51,3.172319
-6.858974,51,3.210468
-6.370759,51,3.247644
-6.613204,51,3.285155
-6.624859,51,3.323031
-6.827987,51,3.360584
-6.6,51,3.398298
-6.800136,51,3.435936
-6.808144,51,3.47378
-6.903952,52,3.511697
-6.698722,51,3.549133
-6.665126,51,3.586638
-7.110845,51,3.624213
-6.64,51,3.661574
-7.020484,51,3.699133
-6.740091,51,3.737058
-6.667475,51,3.775182
-6.720015,52,3.813473
-6.903308,52,3.851606
-6.451166,51,3.889669
-6.912778,52,3.928058
-6.82,51,3.965488
-7.314207,51,4.003073
-7.2,51,4.040826
-6.81,51,4.078283
-6.706072,52,4.116065
-6.860861,51,4.153191
-6.534054,51,4.400994
-6.833064,51,4.439008
-7.110481,52,4.477398
-6.69,52,4.515697
-7.110613,51,4.553981
-6.973959,51,4.592084
-6.627876,51,4.62939
-6.961584,51,4.666519
-6.57188,51,4.704221
-6.496436,51,4.742267
-6.95,51,4.77954
-6.841574,51,4.816955
-6.73464,51,4.854734
-6.62,51,4.892484
-6.691053,51,4.93003
-6.93,51,4.967804
-6.493626,51,5.005408
-7.341267,51,5.043199
-6.907984,52,5.081048
-6.522256,51,5.118676
-6.481062,51,5.156742
-6.700027,51,5.194409
-6.63,51,5.232209
-7.1,52,5.270616
-7.153369,52,5.308791
-6.930371,51,5.346453
-6.954508,51,5.384079
-6.603193,51,5.422164
-7.140552,51,5.46001
-6.580207,52,5.498194
-6.765977,51,5.53533
-6.3,51,5.573179
-6.944297,51,5.610513
-6.850702,51,5.647796
-6.721551,51,5.685067
-6.944997,52,5.723708
-7.31236,51,5.761265
-6.615544,51,5.798497
-7.14,52,5.836446
-6.998075,51,5.874716
-6.961271,51,6.128372
-6.797091,51,6.168497
-6.520295,51,6.207274
-6.450443,51,6.2456
-6.587315,51,6.283572
-6.630001,51,6.323554
-7.261128,51,6.362986
-6.871766,51,6.402554
-6.860247,51,6.441303
-7.151105,52,6.479786
-6.934608,51,6.517968
-6.86616,52,6.556875
-7.29,51,6.594143
-6.440264,51,6.6317
-7.007767,51,6.668984
-6.84,51,6.707558
-7.31,52,6.745814
-6.89,52,6.783742
-6.514067,51,6.821016
-6.65535,51,6.858849
-7.099241,51,6.896803
-6.645246,51,6.9344
-6.444082,51,6.972218
-6.390063,51,7.01027
-6.710546,51,7.047724
-6.931326,51,7.085355
-6.74028,51,7.123461
-7.0,52,7.161997
-6.62,51,7.199913
-6.677449,52,7.238601
-6.699837,51,7.276286
-6.791078,51,7.313915
-7.042228,51,7.351645
-6.478926,51,7.389473
-6.477029,51,7.426833
-6.573728,51,7.464351
-6.909366,51,7.501994
-6.243644,51,7.540548
-6.789348,51,7.578294
-6.795003,51,7.616315
-6.904758,51,7.86516
-7.34001,51,7.9032
-6.560626,51,7.941146
-6.426807,51,7.978734
-6.708129,52,8.016951
-6.730295,51,8.054801
-6.459407,51,8.092465
-6.420519,51,8.129917
-6.145206,51,8.16695
-6.85287,51,8.204724
-6.8502,51,8.243065
-7.05,51,8.280189
-6.494477,51,8.317806
-6.517184,51,8.35562
-6.762349,51,8.393267
-7.109228,52,8.431792
-6.85,51,8.469194
-6.58,52,8.507812
-6.58,51,8.545445
-6.16,51,8.583166
-6.7022,52,8.621908
-6.421915,51,8.659298
-7.54,51,8.696993
-6.836927,51,8.734337
-6.831764,52,8.773044
-6.866403,51,8.810609
-7.262636,51,8.848315
-6.721644,51,8.885448
-6.483409,51,8.923152
-7.08,52,8.961424
-6.44,51,8.998911
-6.987052,51,9.036393
-6.847369,51,9.074145
-6.524733,51,9.111546
-7.011345,51,9.148785
-7.256264,51,9.186177
-6.773884,51,9.224572
-6.96,51,9.262052
-6.53,51,9.299637
-6.718859,51,9.337969
-6.60192,51,9.585963
-6.621519,51,9.624402
-6.562933,51,9.662352
-7.111391,52,9.700713
-7.398945,51,9.738988
-7.1125,52,9.777751
-6.621125,52,9.816474
-6.266296,52,9.856868
-6.85534,51,9.894731
