#{"t_start": 1789349761.783844, "env_id": "None"}
r,l,t
-1.928704,52,0.986762
-1.842925,51,1.004324
-2.044887,51,1.022011
-1.989971,51,1.039704
-1.704186,51,1.059498
-1.993446,51,1.078206
-1.876303,51,1.096218
-2.0246,51,1.116443
-2.18849,51,1.138506
-1.883327,52,1.157746
-1.945625,52,1.177182
-1.997063,51,1.197306
-1.80137,51,1.21607
-1.910337,51,1.234798
-1.965072,51,1.258544
-1.933952,51,1.278681
-1.886992,51,1.297398
-1.771507,51,1.316121
-1.915902,51,1.334788
-2.206475,52,1.353755
-1.878533,51,1.37235
-1.908328,52,1.391559
-1.857722,51,1.410021
-1.881571,52,1.428834
-2.041496,51,1.447654
-1.996789,51,1.465656
-1.807311,51,1.484073
-1.877395,51,1.502684
-1.949197,51,1.522719
-2.402023,51,1.54181
-1.954478,51,1.560737
-2.224973,51,1.580515
-2.381941,51,1.599621
-1.974362,51,1.618424
-1.864844,51,1.6378
-2.216548,51,1.657095
-2.0176,51,1.676292
-1.904101,51,1.695867
-2.01786,51,1.71547
-1.914129,51,1.735033
-2.40234,51,2.08048
-2.004529,52,2.09952
-1.875838,51,2.118064
-2.020943,51,2.136573
-2.136571,51,2.154927
-1.890682,51,2.173342
-1.995015,51,2.191885
-1.972403,51,2.210884
-2.025594,51,2.229843
-1.942053,51,2.248779
-1.889328,51,2.267902
-1.828252,51,2.287384
-1.91893,51,2.306665
-1.971706,51,2.326007
-1.973087,51,2.345659
-2.01234,51,2.364568
-1.943966,51,2.383775
-1.941503,52,2.403978
-1.974805,51,2.424676
-1.982545,51,2.445143
-2.075225,51,2.465777
-1.954755,51,2.486559
-1.952745,51,2.50679
-2.332183,51,2.527582
-1.857191,51,2.547291
-2.216633,51,2.566311
-2.344478,51,2.585653
-1.957301,51,2.605043
-1.892831,52,2.624913
-1.906593,52,2.644208
-1.914016,51,2.662893
-1.85557,51,2.681533
-1.978191,51,2.700711
-2.068503,51,2.719504
-1.891637,51,2.739553
-1.798094,51,2.762233
-2.014712,51,2.782328
-1.82724,51,2.801601
-1.998526,51,2.821665
-1.84937,51,2.840693
-2.037368,51,3.168432
-1.902942,51,3.187172
-1.983748,51,3.205722
-2.223485,51,3.224793
-2.176638,51,3.24466
-2.0699,51,3.263535
-1.948958,51,3.283173
-1.990821,51,3.301899
-2.051677,51,3.320449
-1.950479,52,3.339376
-2.212727,51,3.357837
-2.004392,51,3.3763
-2.117252,51,3.394745
-1.974048,52,3.413621
-2.19711,52,3.432528
-2.429721,51,3.45111
-2.070105,51,3.470001
-1.997568,51,3.488486
-1.887568,51,3.507323
-1.8478,51,3.526205
-2.10355,51,3.544771
-1.867606,51,3.563315
-1.733556,51,3.581913
-1.992253,51,3.600884
-2.067597,51,3.619675
-2.259048,52,3.638565
-1.946663,52,3.65759
-1.750021,51,3.677292
-1.794196,51,3.696402
-1.917606,51,3.715702
-1.896453,51,3.736254
-1.979225,51,3.756931
-2.003288,51,3.776919
-1.86015,51,3.796429
-1.909359,51,3.815598
-1.962945,51,3.83474
-1.978583,51,3.854305
-1.839718,51,3.873469
-1.938093,51,3.89264
